Approach,Query,Selectivity,Accuracy,Time,Threshold,Dataset
Aurum,naib-xtez.csv.a40_taking_property_without,Medium,0.9997982141956312,0.00000787,0.7,NYC
Aurum,6bqn-qdwq.csv.tnc_mode,High,1.0,0.00000834,0.7,NYC
Aurum,disc.csv.A29 Gang Related Behavior R,Medium,0.9999495535489078,0.00000787,0.7,NYC
Aurum,wcm8-aq5w.csv.propane_use_kbtu,Low,0.9998654761304208,0.00000906,0.7,NYC
Aurum,yr5p-wjer.csv.worship_facility_gross_floor,Low,0.9998486606467236,0.00000787,0.7,NYC
Aurum,9cvd-uyw6.csv.ELL PRINCIPAL,Medium,0.9960819922985084,0.00000882,0.7,NYC
Aurum,ek6b-5n74.csv.description_of_code,High,0.9999663690326052,0.00000739,0.7,NYC
Aurum,m8p6-tp4b.csv.yrb_rng,Low,0.999478720005381,0.00000834,0.7,NYC
Aurum,iz2q-9x8d.csv.total_est_fee,High,1.0,0.00000930,0.7,NYC
Aurum,nbun-wekj.csv.municipally_supplied_potable_1,Low,0.9996805058097497,0.00000787,0.7,NYC
Aurum,45nu-yrf2.csv.6 EXPULSIONS,Medium,0.9999495535489078,0.00000930,0.7,NYC
Aurum,njjd-3gve.csv.q20_r7_c4,Low,0.999478720005381,0.00000715,0.7,NYC
Aurum,n84m-kx4j.csv.vehicle_engine_horsepower,High,1.0,0.00000787,0.7,NYC
Aurum,naib-xtez.csv.a59_using_weapon_other_than,Medium,0.9997982141956312,0.00000811,0.7,NYC
Aurum,yr5p-wjer.csv.stadium_closed_gross_floor,Low,0.9998654761304208,0.00000811,0.7,NYC
Aurum,i6ky-n2wd.csv._2_superintendent,Medium,0.9997982141956312,0.00000739,0.7,NYC
Aurum,kg6x-kv5b.csv.10 REMOVALS,Medium,1.0,0.00000882,0.7,NYC
Aurum,kcey-vehy.csv.qsurveyzone_home,High,1.0,0.00000811,0.7,NYC
Aurum,uu87-uz8m.csv.asc_contact_perp,High,1.0,0.00000834,0.7,NYC
Aurum,utpj-74fz.csv.bank_branch_number_of,Low,0.9998654761304208,0.00000882,0.7,NYC
Aurum,naib-xtez.csv.a34_coercion_threats_p,Medium,0.9997982141956312,0.00000834,0.7,NYC
Aurum,6e44-8i2s.csv.larceny_or_other_theft_with_weapon_s,Low,0.999478720005381,0.00000954,0.7,NYC
Aurum,4nft-bihw.csv.tax_year,High,1.0,0.00000811,0.7,NYC
Aurum,ijzq-5wy8.csv.modes_used_june_bus,Medium,0.9971245522877464,0.00000954,0.7,NYC
Aurum,8nqg-ia7v.csv.flag_mc,High,0.9999495535489078,0.00000834,0.7,NYC
Aurum,disc.csv.A52 Group Violence S,Medium,0.9999495535489078,0.00000811,0.7,NYC
Aurum,x5tk-fa54.csv.year_5_estimate,High,1.0,0.00000739,0.7,NYC
Aurum,reri-chf8.csv.grade_12,High,1.0,0.00000834,0.7,NYC
Aurum,njjd-3gve.csv.q21_r4_c2,Low,0.999478720005381,0.00000834,0.7,NYC
Aurum,f33j-ecpr.csv.q21_r1_c2,Low,0.9989406245270646,0.00000882,0.7,NYC
Aurum,utpj-74fz.csv.retail_store_number_of_open,Low,0.9996300593586576,0.00000834,0.7,NYC
Aurum,vc9v-wg6y.csv.ell_arabic,High,0.9999663690326052,0.00000811,0.7,NYC
Aurum,wcm8-aq5w.csv.percent_of_electricity_that,Low,0.9993105651684072,0.00000834,0.7,NYC
Aurum,64pu-zyr2.csv.A36 Intimidating and Bullying Behavior R,Medium,0.9959642839126268,0.00000858,0.7,NYC
Aurum,wa2y-rh4b.csv.noncity_yr1_plan,Low,0.9995291664564732,0.00000715,0.7,NYC
Aurum,g3xg-qtbc.csv.approx_date_closed,High,1.0,0.00000930,0.7,NYC
Aurum,t5qg-w9sq.csv.B31 Scholastic Dishonesty R,Medium,0.9999495535489078,0.00000811,0.7,NYC
Aurum,fx4z-5xg2.csv.stop_question_frisk_complaint,High,0.9999663690326052,0.00000739,0.7,NYC
Aurum,r5p4-2qap.csv.18 PRINCIPAL,Medium,0.9958970219778372,0.00000763,0.7,NYC
Aurum,2ps2-dsjr.csv._05_principal,Medium,0.9998150296793288,0.00000954,0.7,NYC
Aurum,utpj-74fz.csv.percent_of_electricity_that,Low,0.9993105651684072,0.00000858,0.7,NYC
Aurum,268n-a7em.csv.local,High,1.0,0.00000906,0.7,NYC
Aurum,jpcp-ic7c.csv.qworktravelcode06,High,0.9998991070978156,0.00000739,0.7,NYC
Aurum,disc.csv.A37 Intimidating and Bullying Behavior  S,Medium,0.9999495535489078,0.00000739,0.7,NYC
Aurum,4tys-3tzj.csv.multifamily_housing_number,Low,0.9998654761304208,0.00000763,0.7,NYC
