 method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms,chembl_release.csv,creation_date,"high
",1,0,0,544,1.0,1.0,1.0,1.0,6.047714710235596,0.7,chembl_1000_4
cms_sampling,chembl_release.csv,creation_date,"high
",1,0,0,544,1.0,1.0,1.0,1.0,3.017486095428467,0.7,chembl_1000_4
cms_earlystopping,chembl_release.csv,creation_date,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.3314805030822754,0.7,chembl_1000_4
cms_minhash,chembl_release.csv,creation_date,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.030355453491210938,0.7,chembl_1000_4
cms_minhash_lsh,chembl_release.csv,creation_date,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.0004057884216308594,0.7,chembl_1000_4
cms,relationship_type.csv,relationship_type,"high
",1,0,0,544,1.0,1.0,1.0,1.0,6.067639350891113,0.7,chembl_1000_4
cms_sampling,relationship_type.csv,relationship_type,"high
",1,0,0,544,1.0,1.0,1.0,1.0,3.0295591354370117,0.7,chembl_1000_4
cms_earlystopping,relationship_type.csv,relationship_type,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.3111896514892578,0.7,chembl_1000_4
cms_minhash,relationship_type.csv,relationship_type,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.023273468017578125,0.7,chembl_1000_4
cms_minhash_lsh,relationship_type.csv,relationship_type,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.00040793418884277344,0.7,chembl_1000_4
cms,hrac_classification.csv,hrac_code,"medium
",2,0,0,543,1.0,1.0,1.0,1.0,6.259286403656006,0.7,chembl_1000_4
cms_sampling,hrac_classification.csv,hrac_code,"medium
",2,0,0,543,1.0,1.0,1.0,1.0,3.14184832572937,0.7,chembl_1000_4
cms_earlystopping,hrac_classification.csv,hrac_code,"medium
",2,0,0,543,1.0,1.0,1.0,1.0,0.35822105407714844,0.7,chembl_1000_4
cms_minhash,hrac_classification.csv,hrac_code,"medium
",2,0,0,543,1.0,1.0,1.0,1.0,0.021785736083984375,0.7,chembl_1000_4
cms_minhash_lsh,hrac_classification.csv,hrac_code,"medium
",2,0,0,543,1.0,1.0,1.0,1.0,0.00045561790466308594,0.7,chembl_1000_4
cms,bio_component_sequences.csv,sequence,"high
",1,0,0,544,1.0,1.0,1.0,1.0,5.0253989696502686,0.7,chembl_1000_4
cms_sampling,bio_component_sequences.csv,sequence,"high
",1,0,0,544,1.0,1.0,1.0,1.0,2.5076541900634766,0.7,chembl_1000_4
cms_earlystopping,bio_component_sequences.csv,sequence,"high
",1,0,0,544,1.0,1.0,1.0,1.0,1.4920904636383057,0.7,chembl_1000_4
cms_minhash,bio_component_sequences.csv,sequence,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.03452420234680176,0.7,chembl_1000_4
cms_minhash_lsh,bio_component_sequences.csv,sequence,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.0021202564239501953,0.7,chembl_1000_4
cms,go_classification.csv,class_level,"high
",1,0,0,544,1.0,1.0,1.0,1.0,6.232198715209961,0.7,chembl_1000_4
