 method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,1164.4301121234894,0.7,nyc_16
cms_sampling,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,574.8350057601929,0.7,nyc_16
cms_earlystopping,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,57.91589641571045,0.7,nyc_16
cms_minhash,kcey-vehy.csv,qsurveyzone_home,"high
",3,2,0,59453,0.9999663628107235,0.6,1.0,0.7499999999999999,1.3650941848754883,0.7,nyc_16
cms_minhash_lsh,kcey-vehy.csv,qsurveyzone_home,"high
",3,2,0,59453,0.9999663628107235,0.6,1.0,0.7499999999999999,0.00047707557678222656,0.7,nyc_16
cms,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,1168.2134714126587,0.7,nyc_16
cms_sampling,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,577.4678559303284,0.7,nyc_16
cms_earlystopping,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,82.51123690605164,0.7,nyc_16
cms_minhash,naib-xtez.csv,a34_coercion_threats_p,"medium
",499,0,2,58957,0.9999663628107235,1.0,0.9960079840319361,0.9980000000000001,1.2936432361602783,0.7,nyc_16
cms_minhash_lsh,naib-xtez.csv,a34_coercion_threats_p,"medium
",499,0,2,58957,0.9999663628107235,1.0,0.9960079840319361,0.9980000000000001,0.04011034965515137,0.7,nyc_16
cms,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2626.855063676834,0.7,nyc_16
cms_sampling,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,1306.711305141449,0.7,nyc_16
cms_earlystopping,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,130.9201376438141,0.7,nyc_16
cms_minhash,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.4196438789367676,0.7,nyc_16
cms_minhash_lsh,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.0003769397735595703,0.7,nyc_16
cms,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,2633.224415540695,0.7,nyc_16
cms_sampling,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,1305.600591659546,0.7,nyc_16
cms_earlystopping,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,131.10407733917236,0.7,nyc_16
cms_minhash,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,2.4170069694519043,0.7,nyc_16
cms_minhash_lsh,ek6b-5n74.csv,description_of_code,"high
",8,0,0,59450,1.0,1.0,1.0,1.0,0.0006964206695556641,0.7,nyc_16
cms,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,2629.205547094345,0.7,nyc_16
cms_sampling,6bqn-qdwq.csv,tnc_mode,"high
",2,1,0,59455,0.9999831814053618,0.6666666666666666,1.0,0.8,1308.754658460617,0.7,nyc_16
cms_earlystopping,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,132.90129327774048,0.7,nyc_16
cms_minhash,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,2.481707811355591,0.7,nyc_16
cms_minhash_lsh,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,0.01882314682006836,0.7,nyc_16
cms,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,2638.6079199314117,0.7,nyc_16
cms_sampling,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,1309.2287290096283,0.7,nyc_16
cms_earlystopping,uu87-uz8m.csv,asc_contact_perp,"high
",0,0,70,59388,0.9988226983753238,0.0,0.0,0.0,130.85479426383972,0.7,nyc_16
cms_minhash,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,2.231180191040039,0.7,nyc_16
