query_id,file_name,column_name,lsh_matches,ground_truth,TP,FP,FN,TN,precision,recall,f1_score,accuracy
1,ijzq-5wy8.csv,modes_used_june_bus,1276,638,545,731,93,58100,0.427115987460815,0.85423197492163,0.5694879832810867,0.9861440414333519
2,r5p4-2qap.csv,18 PRINCIPAL,812,980,812,0,168,58489,1.0,0.8285714285714286,0.90625,0.9971749987388387
3,naib-xtez.csv,a59_using_weapon_other_than,973,501,447,526,54,58442,0.45940390544707094,0.8922155688622755,0.6065128900949798,0.9902470194555146
4,disc.csv,A37 Intimidating and Bullying Behavior  S,983,652,535,448,117,58369,0.5442522889114955,0.8205521472392638,0.654434250764526,0.9904992517109754
5,2ps2-dsjr.csv,_05_principal,973,502,447,526,55,58441,0.45940390544707094,0.8904382470119522,0.6061016949152542,0.9902302039718173
6,disc.csv,A29 Gang Related Behavior R,987,652,539,448,113,58369,0.5460992907801419,0.8266871165644172,0.6577181208053692,0.990566513645765
7,45nu-yrf2.csv,6 EXPULSIONS,987,652,539,448,113,58369,0.5460992907801419,0.8266871165644172,0.6577181208053692,0.990566513645765
8,kg6x-kv5b.csv,10 REMOVALS,13,652,8,5,644,58812,0.6153846153846154,0.012269938650306749,0.024060150375939848,0.9890867510803948
9,i6ky-n2wd.csv,_2_superintendent,973,501,447,526,54,58442,0.45940390544707094,0.8922155688622755,0.6065128900949798,0.9902470194555146
10,9cvd-uyw6.csv,ELL PRINCIPAL,812,988,812,0,176,58481,1.0,0.8218623481781376,0.9022222222222221,0.9970404748692596
11,disc.csv,A52 Group Violence S,987,652,539,448,113,58369,0.5460992907801419,0.8266871165644172,0.6577181208053692,0.990566513645765
12,naib-xtez.csv,a40_taking_property_without,973,501,447,526,54,58442,0.45940390544707094,0.8922155688622755,0.6065128900949798,0.9902470194555146
13,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,987,652,539,448,113,58369,0.5460992907801419,0.8266871165644172,0.6577181208053692,0.990566513645765
14,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,858,970,832,26,138,58473,0.9696969696969697,0.8577319587628865,0.9102844638949671,0.9972422606736283
15,naib-xtez.csv,a34_coercion_threats_p,973,501,447,526,54,58442,0.45940390544707094,0.8922155688622755,0.6065128900949798,0.9902470194555146
16,kcey-vehy.csv,qsurveyzone_home,3,3,3,0,0,59466,1.0,1.0,1.0,1.0
17,g3xg-qtbc.csv,approx_date_closed,1,1,1,0,0,59468,1.0,1.0,1.0,1.0
18,fx4z-5xg2.csv,stop_question_frisk_complaint,74,128,56,18,72,59323,0.7567567567567568,0.4375,0.5544554455445544,0.9984866064672351
19,vc9v-wg6y.csv,ell_arabic,6,54,1,5,53,59410,0.16666666666666666,0.018518518518518517,0.03333333333333333,0.9990247019455515
20,8nqg-ia7v.csv,flag_mc,16,24,15,1,9,59444,0.9375,0.625,0.75,0.9998318451630261
21,iz2q-9x8d.csv,total_est_fee,1,1,1,0,0,59468,1.0,1.0,1.0,1.0
22,jpcp-ic7c.csv,qworktravelcode06,56,41,37,19,4,59409,0.6607142857142857,0.9024390243902439,0.7628865979381443,0.9996132438749601
23,x5tk-fa54.csv,year_5_estimate,2,3,2,0,1,59466,1.0,0.6666666666666666,0.8,0.9999831845163026
24,uu87-uz8m.csv,asc_contact_perp,86,70,70,16,0,59383,0.813953488372093,1.0,0.8974358974358974,0.9997309522608417
25,268n-a7em.csv,local,1,1,1,0,0,59468,1.0,1.0,1.0,1.0
26,reri-chf8.csv,grade_12,1,1,1,0,0,59468,1.0,1.0,1.0,1.0
27,ek6b-5n74.csv,description_of_code,8,8,8,0,0,59461,1.0,1.0,1.0,1.0
28,4nft-bihw.csv,tax_year,1,1,1,0,0,59468,1.0,1.0,1.0,1.0
29,n84m-kx4j.csv,vehicle_engine_horsepower,1,1,1,0,0,59468,1.0,1.0,1.0,1.0
30,wcm8-aq5w.csv,propane_use_kbtu,751,1132,739,12,393,58325,0.9840213049267643,0.6528268551236749,0.7849176845459372,0.9931897291025577
31,4tys-3tzj.csv,multifamily_housing_number,759,1132,747,12,385,58325,0.9841897233201581,0.6598939929328622,0.790058170280275,0.9933242529721368
32,njjd-3gve.csv,q21_r4_c2,1269,1210,1057,212,153,58047,0.8329393223010244,0.8735537190082645,0.8527632109721661,0.9938623484504532
33,utpj-74fz.csv,retail_store_number_of_open,751,1147,746,5,401,58317,0.9933422103861518,0.6503923278116827,0.78609062170706,0.9931729136188603
34,m8p6-tp4b.csv,yrb_rng,536,1210,536,0,674,58259,1.0,0.44297520661157025,0.6139747995418099,0.9886663639879602
35,utpj-74fz.csv,percent_of_electricity_that,1245,1210,1044,201,166,58058,0.8385542168674699,0.8628099173553719,0.8505091649694502,0.9938287174830585
36,f33j-ecpr.csv,q21_r1_c2,1260,1368,1195,65,173,58036,0.9484126984126984,0.8735380116959064,0.9094368340943683,0.9959979148800215
37,nbun-wekj.csv,municipally_supplied_potable_1,1,1134,1,0,1133,58335,1.0,0.0008818342151675485,0.0017621145374449338,0.9809480569708587
38,yr5p-wjer.csv,stadium_closed_gross_floor,751,1132,739,12,393,58325,0.9840213049267643,0.6528268551236749,0.7849176845459372,0.9931897291025577
39,yr5p-wjer.csv,worship_facility_gross_floor,751,1132,739,12,393,58325,0.9840213049267643,0.6528268551236749,0.7849176845459372,0.9931897291025577
40,njjd-3gve.csv,q20_r7_c4,1269,1210,1057,212,153,58047,0.8329393223010244,0.8735537190082645,0.8527632109721661,0.9938623484504532
41,wa2y-rh4b.csv,noncity_yr1_plan,1,1210,1,0,1209,58259,1.0,0.0008264462809917355,0.0016515276630883566,0.9796700802098572
42,wcm8-aq5w.csv,percent_of_electricity_that,1,1210,1,0,1209,58259,1.0,0.0008264462809917355,0.0016515276630883566,0.9796700802098572
43,6e44-8i2s.csv,larceny_or_other_theft_with_weapon_s,1269,1210,1057,212,153,58047,0.8329393223010244,0.8735537190082645,0.8527632109721661,0.9938623484504532
44,utpj-74fz.csv,bank_branch_number_of,791,1132,779,12,353,58325,0.9848293299620733,0.6881625441696113,0.8101924076963078,0.9938623484504532
45,6bqn-qdwq.csv,tnc_mode,6,2,2,4,0,59463,0.3333333333333333,1.0,0.5,0.9999327380652104

