QueryFile,QueryColumn,time(ns),NumResults
ijzq-5wy8.csv,modes_used_june_bus,258346347.00,1276
r5p4-2qap.csv,18 PRINCIPAL,256129815.00,858
naib-xtez.csv,a59_using_weapon_other_than,256628869.00,998
disc.csv,A37 Intimidating and Bullying Behavior  S,257448335.00,1009
2ps2-dsjr.csv,_05_principal,2334792.00,998
disc.csv,A29 Gang Related Behavior R,2190743.00,1013
45nu-yrf2.csv,6 EXPULSIONS,1808792.00,1013
kg6x-kv5b.csv,10 REMOVALS,693258.00,14
i6ky-n2wd.csv,_2_superintendent,3233191.00,998
9cvd-uyw6.csv,ELL PRINCIPAL,1962191.00,858
disc.csv,A52 Group Violence S,2026200.00,1013
naib-xtez.csv,a40_taking_property_without,2070653.00,998
t5qg-w9sq.csv,B31 Scholastic Dishonesty R,2647142.00,1013
64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,1632193.00,904
naib-xtez.csv,a34_coercion_threats_p,1937964.00,998
kcey-vehy.csv,qsurveyzone_home,531022.00,3
g3xg-qtbc.csv,approx_date_closed,309800966.00,1
fx4z-5xg2.csv,stop_question_frisk_complaint,997435.00,79
vc9v-wg6y.csv,ell_arabic,277717111.00,6
8nqg-ia7v.csv,flag_mc,309944942.00,16
iz2q-9x8d.csv,total_est_fee,586495.00,1
jpcp-ic7c.csv,qworktravelcode06,308662922.00,56
x5tk-fa54.csv,year_5_estimate,417981.00,2
uu87-uz8m.csv,asc_contact_perp,301528611.00,86
268n-a7em.csv,local,274161754.00,1
reri-chf8.csv,grade_12,280358128.00,1
ek6b-5n74.csv,description_of_code,1026734.00,8
4nft-bihw.csv,tax_year,547295.00,1
n84m-kx4j.csv,vehicle_engine_horsepower,318642827.00,1
wcm8-aq5w.csv,propane_use_kbtu,2018037.00,751
4tys-3tzj.csv,multifamily_housing_number,1849783.00,759
njjd-3gve.csv,q21_r4_c2,3179540.00,1269
utpj-74fz.csv,retail_store_number_of_open,2055847.00,751
m8p6-tp4b.csv,yrb_rng,1612505.00,536
utpj-74fz.csv,percent_of_electricity_that,2933113.00,1245
f33j-ecpr.csv,q21_r1_c2,2971405.00,1260
nbun-wekj.csv,municipally_supplied_potable_1,518602.00,1
yr5p-wjer.csv,stadium_closed_gross_floor,1983098.00,751
yr5p-wjer.csv,worship_facility_gross_floor,1621285.00,751
njjd-3gve.csv,q20_r7_c4,2995810.00,1269
wa2y-rh4b.csv,noncity_yr1_plan,505295.00,1
wcm8-aq5w.csv,percent_of_electricity_that,951654.00,1
6e44-8i2s.csv,larceny_or_other_theft_with_weapon_s,4301874.00,1269
utpj-74fz.csv,bank_branch_number_of,2242433.00,791
6bqn-qdwq.csv,tnc_mode,603857.00,6
lsh ensemble nyc index creation_time= 2210866301682 ,,
