configuration,num_cells,cms_width,cms_depth,size_cms,time_cms,error_cms,Act_jaccard_similarity
1,50,1,50,200,0.000016,0.38240051763183436,0.6175994823681656
1,50,2,25,200,0.000014,0.209912615761924,0.6175994823681656
1,50,5,10,200,0.000014,0.13010228980143135,0.6175994823681656
1,50,10,5,200,0.000015,0.06862741632332225,0.6175994823681656
1,50,25,2,200,0.000015,0.04146314724610234,0.6175994823681656
1,50,50,1,177,0.000020,0.02268592729311547,0.6175994823681656
2,100,1,100,400,0.000068,0.38240051763183436,0.6175994823681656
2,100,2,50,400,0.000026,0.2108482386545949,0.6175994823681656
2,100,4,25,400,0.000025,0.12994958007176238,0.6175994823681656
2,100,5,20,400,0.000025,0.12404497833162709,0.6175994823681656
2,100,10,10,400,0.000025,0.07503501860086759,0.6175994823681656
2,100,20,5,400,0.000025,0.035976375424310536,0.6175994823681656
2,100,25,4,393,0.000025,0.038646635804994944,0.6175994823681656
2,100,50,2,350,0.000025,0.019463626414677915,0.6175994823681656
2,100,100,1,269,0.000025,0.008152427890328884,0.6175994823681656
3,200,1,200,800,0.000046,0.38240051763183436,0.6175994823681656
3,200,2,100,800,0.000047,0.20973228433273305,0.6175994823681656
3,200,4,50,800,0.000047,0.13595277611946566,0.6175994823681656
3,200,5,40,800,0.000047,0.12251071010977299,0.6175994823681656
3,200,8,25,800,0.000046,0.08181489943586473,0.6175994823681656
3,200,10,20,800,0.000046,0.07253184083564734,0.6175994823681656
3,200,20,10,797,0.000045,0.038646635804994944,0.6175994823681656
3,200,25,8,789,0.000046,0.039298390589189935,0.6175994823681656
3,200,40,5,742,0.000046,0.01999979708815136,0.6175994823681656
3,200,50,4,696,0.000046,0.016721253076165343,0.6175994823681656
3,200,100,2,525,0.000046,0.0071618808066180595,0.6175994823681656
3,200,200,1,332,0.000046,0.00026170514194601147,0.6175994823681656
4,300,1,300,1200,0.000067,0.38240051763183436,0.6175994823681656
4,300,2,150,1200,0.000069,0.20977569420196085,0.6175994823681656
4,300,3,100,1200,0.000069,0.161248766755974,0.6175994823681656
4,300,4,75,1200,0.000068,0.13460391340201538,0.6175994823681656
4,300,5,60,1200,0.000067,0.12177295205749361,0.6175994823681656
4,300,6,50,1200,0.000069,0.10802010134336604,0.6175994823681656
4,300,10,30,1200,0.000067,0.0753072384715161,0.6175994823681656
4,300,12,25,1200,0.000067,0.06469004638889153,0.6175994823681656
4,300,15,20,1197,0.000067,0.05244205991519868,0.6175994823681656
4,300,20,15,1197,0.000067,0.04040869713885331,0.6175994823681656
4,300,25,12,1181,0.000068,0.03430330315290642,0.6175994823681656
4,300,30,10,1150,0.000067,0.03094691184873366,0.6175994823681656
4,300,50,6,1069,0.000067,0.017589790790202398,0.6175994823681656
4,300,60,5,991,0.000067,0.015400174701906355,0.6175994823681656
4,300,75,4,863,0.000067,0.013256309208464212,0.6175994823681656
4,300,100,3,786,0.000068,0.005821064724558678,0.6175994823681656
4,300,150,2,577,0.000067,0.008152427890328884,0.6175994823681656
4,300,300,1,360,0.000074,0.008152427890328884,0.6175994823681656
5,400,1,400,1600,0.000095,0.38240051763183436,0.6175994823681656
5,400,2,200,1600,0.000093,0.20796425171291855,0.6175994823681656
5,400,4,100,1600,0.000090,0.13581902619158515,0.6175994823681656
5,400,5,80,1600,0.000090,0.12049942849560435,0.6175994823681656
5,400,8,50,1600,0.000090,0.08186977338326318,0.6175994823681656
5,400,10,40,1600,0.000089,0.07430833403445769,0.6175994823681656
5,400,16,25,1600,0.000090,0.05220084290893767,0.6175994823681656
5,400,20,20,1597,0.000091,0.039538640094341604,0.6175994823681656
5,400,25,16,1581,0.000089,0.03396227571932586,0.6175994823681656
5,400,40,10,1496,0.000090,0.019329638600896426,0.6175994823681656
5,400,50,8,1426,0.000089,0.018325428678417355,0.6175994823681656
5,400,80,5,1174,0.000090,0.014201046335205691,0.6175994823681656
5,400,100,4,1042,0.000090,0.005513648617064049,0.6175994823681656
5,400,200,2,663,0.000111,0.00026170514194601147,0.6175994823681656
5,400,400,1,395,0.000098,0.00026170514194601147,0.6175994823681656
6,500,1,500,2000,0.000119,0.38240051763183436,0.6175994823681656
6,500,2,250,2000,0.000114,0.20993933455630587,0.6175994823681656
6,500,4,125,2000,0.000113,0.13392136318202563,0.6175994823681656
6,500,5,100,2000,0.000112,0.12063462821655024,0.6175994823681656
6,500,10,50,2000,0.000115,0.07332919256939685,0.6175994823681656
6,500,20,25,1997,0.000111,0.0410393722421869,0.6175994823681656
6,500,25,20,1969,0.000113,0.035327230993680625,0.6175994823681656
6,500,50,10,1764,0.000115,0.017309085370183608,0.6175994823681656
6,500,100,5,1318,0.000113,0.004855291705007092,0.6175994823681656
6,500,125,4,1156,0.000112,0.00874733609087075,0.6175994823681656
6,500,250,2,714,0.000118,0.005118570370171049,0.6175994823681656
6,500,500,1,419,0.000273,0.0028834215371981164,0.6175994823681656
7,600,1,600,2400,0.000140,0.38240051763183436,0.6175994823681656
7,600,2,300,2400,0.000137,0.2098257850755223,0.6175994823681656
7,600,3,200,2400,0.000133,0.16106209258329918,0.6175994823681656
7,600,4,150,2400,0.000133,0.13472877778015147,0.6175994823681656
7,600,5,120,2400,0.000135,0.12011433788706105,0.6175994823681656
7,600,6,100,2400,0.000133,0.10691457112798486,0.6175994823681656
7,600,8,75,2400,0.000136,0.08204982332509303,0.6175994823681656
7,600,10,60,2400,0.000135,0.07467935441577123,0.6175994823681656
7,600,12,50,2400,0.000134,0.06172368322317445,0.6175994823681656
7,600,15,40,2393,0.000133,0.051880954451390626,0.6175994823681656
7,600,20,30,2397,0.000134,0.03988655331198376,0.6175994823681656
7,600,24,25,2362,0.000134,0.038984112153181094,0.6175994823681656
7,600,25,24,2362,0.000133,0.03598207192959613,0.6175994823681656
7,600,30,20,2319,0.000133,0.028531697825583957,0.6175994823681656
7,600,40,15,2265,0.000133,0.022040452702092983,0.6175994823681656
7,600,50,12,2114,0.000168,0.016821421875199638,0.6175994823681656
7,600,60,10,1982,0.000133,0.014813714060114336,0.6175994823681656
7,600,75,8,1777,0.000133,0.013489065351368734,0.6175994823681656
7,600,100,6,1587,0.000133,0.0047894853868536424,0.6175994823681656
7,600,120,5,1420,0.000136,0.009475037644850914,0.6175994823681656
7,600,150,4,1157,0.000132,0.006469215737764267,0.6175994823681656
7,600,200,3,990,0.000132,0.0012220155813271738,0.6175994823681656
7,600,300,2,730,0.000133,0.004065968049413171,0.6175994823681656
7,600,600,1,420,0.000133,0.0,0.6175994823681656
8,700,1,700,2800,0.000165,0.38240051763183436,0.6175994823681656
8,700,2,350,2800,0.000170,0.21027577193497915,0.6175994823681656
8,700,4,175,2800,0.000162,0.13408914546906947,0.6175994823681656
8,700,5,140,2800,0.000155,0.11976229654137927,0.6175994823681656
8,700,7,100,2800,0.000165,0.09247017731942175,0.6175994823681656
8,700,10,70,2800,0.000159,0.07375083131691218,0.6175994823681656
8,700,14,50,2800,0.000155,0.05618075028728675,0.6175994823681656
8,700,20,35,2797,0.000156,0.03990748508076536,0.6175994823681656
8,700,25,28,2758,0.000159,0.03560049283383471,0.6175994823681656
8,700,28,25,2723,0.000156,0.031139891506569706,0.6175994823681656
8,700,35,20,2661,0.000222,0.02434227795759558,0.6175994823681656
8,700,50,14,2479,0.000161,0.01712200195894209,0.6175994823681656
8,700,70,10,2134,0.000155,0.011396648766022865,0.6175994823681656
8,700,100,7,1843,0.000155,0.004592098457529836,0.6175994823681656
8,700,140,5,1498,0.000155,0.00577714100845772,0.6175994823681656
8,700,175,4,1281,0.000189,0.006634082418450649,0.6175994823681656
8,700,350,2,774,0.000156,0.0057112598906712275,0.6175994823681656
8,700,700,1,456,0.000155,0.0028834215371981164,0.6175994823681656
9,800,1,800,3200,0.000187,0.38240051763183436,0.6175994823681656
9,800,2,400,3200,0.000190,0.21051021792467473,0.6175994823681656
9,800,4,200,3200,0.000179,0.13307244740187918,0.6175994823681656
9,800,5,160,3200,0.000180,0.1196775421974744,0.6175994823681656
9,800,8,100,3200,0.000179,0.08433553264715599,0.6175994823681656
9,800,10,80,3200,0.000177,0.07448726245880788,0.6175994823681656
9,800,16,50,3200,0.000183,0.05027083070777083,0.6175994823681656
9,800,20,40,3197,0.000181,0.04023919335030024,0.6175994823681656
9,800,25,32,3158,0.000180,0.03569871837840177,0.6175994823681656
9,800,32,25,3088,0.000177,0.028545246676412006,0.6175994823681656
9,800,40,20,3014,0.000176,0.02179853068144255,0.6175994823681656
9,800,50,16,2852,0.000176,0.016621096554474413,0.6175994823681656
9,800,80,10,2344,0.000177,0.010932396143356171,0.6175994823681656
9,800,100,8,2108,0.000179,0.00562891601266402,0.6175994823681656
9,800,160,5,1561,0.000176,0.0055926873528076015,0.6175994823681656
9,800,200,4,1329,0.000225,0.0009163386239845472,0.6175994823681656
9,800,400,2,794,0.000177,0.00013084198676438508,0.6175994823681656
9,800,800,1,465,0.000176,0.00026170514194601147,0.6175994823681656
10,900,1,900,3600,0.000214,0.38240051763183436,0.6175994823681656
10,900,2,450,3600,0.000333,0.21107746376571668,0.6175994823681656
10,900,3,300,3600,0.000201,0.16040746074894718,0.6175994823681656
10,900,4,225,3600,0.000200,0.13312463657992146,0.6175994823681656
10,900,5,180,3600,0.000204,0.11947499470003864,0.6175994823681656
10,900,6,150,3600,0.000210,0.10614614793666155,0.6175994823681656
10,900,9,100,3600,0.000220,0.07811764488353479,0.6175994823681656
10,900,10,90,3600,0.000214,0.07416959115329869,0.6175994823681656
10,900,12,75,3600,0.000270,0.06283554865266505,0.6175994823681656
10,900,15,60,3593,0.000215,0.050997658490633535,0.6175994823681656
10,900,18,50,3581,0.000211,0.04618052598401001,0.6175994823681656
10,900,20,45,3593,0.000211,0.04043618750587896,0.6175994823681656
10,900,25,36,3554,0.000215,0.03566122995758181,0.6175994823681656
10,900,30,30,3480,0.000211,0.029286256699257884,0.6175994823681656
10,900,36,25,3422,0.000215,0.028095544012325613,0.6175994823681656
10,900,45,20,3213,0.000211,0.021502945142529484,0.6175994823681656
10,900,50,18,3197,0.000210,0.016535787718080397,0.6175994823681656
10,900,60,15,2977,0.000211,0.01633404921576953,0.6175994823681656
10,900,75,12,2670,0.000214,0.012082458039798016,0.6175994823681656
10,900,90,10,2415,0.000212,0.012804287125349423,0.6175994823681656
10,900,100,9,2364,0.000214,0.006070010686137106,0.6175994823681656
10,900,150,6,1775,0.000211,0.006304382523032781,0.6175994823681656
10,900,180,5,1613,0.000212,0.004565783829154513,0.6175994823681656
10,900,225,4,1314,0.000201,0.003967356589977711,0.6175994823681656
10,900,300,3,1089,0.000210,0.003715404004682732,0.6175994823681656
10,900,450,2,799,0.000210,0.0025552424080504954,0.6175994823681656
10,900,900,1,473,0.000211,0.0028834215371981164,0.6175994823681656
11,1000,1,1000,4000,0.000230,0.38240051763183436,0.6175994823681656
11,1000,2,500,4000,0.000238,0.2112053644035915,0.6175994823681656
11,1000,4,250,4000,0.000237,0.13520096690964556,0.6175994823681656
11,1000,5,200,4000,0.000280,0.12010603389111041,0.6175994823681656
11,1000,8,125,4000,0.000235,0.0856298404278556,0.6175994823681656
11,1000,10,100,4000,0.000336,0.07374531433641818,0.6175994823681656
11,1000,20,50,3989,0.000235,0.04068180857065373,0.6175994823681656
11,1000,25,40,3946,0.000374,0.0351838046872357,0.6175994823681656
11,1000,40,25,3776,0.000235,0.021932922989826298,0.6175994823681656
11,1000,50,20,3547,0.000234,0.017088598712363234,0.6175994823681656
11,1000,100,10,2613,0.000269,0.006238458605325237,0.6175994823681656
11,1000,125,8,2261,0.000479,0.010866095940672893,0.6175994823681656
11,1000,200,5,1672,0.000233,0.0011783403756627786,0.6175994823681656
11,1000,250,4,1427,0.000225,0.0025552424080504954,0.6175994823681656
11,1000,500,2,835,0.000237,0.0014404269655994284,0.6175994823681656
11,1000,1000,1,497,0.000233,0.0,0.6175994823681656
12,1100,1,1100,4400,0.000257,0.38240051763183436,0.6175994823681656
12,1100,2,550,4400,0.000253,0.21128569739379,0.6175994823681656
12,1100,4,275,4400,0.000247,0.13513550123420193,0.6175994823681656
12,1100,5,220,4400,0.000345,0.12050595110742901,0.6175994823681656
12,1100,10,110,4400,0.000258,0.07423579747292486,0.6175994823681656
12,1100,11,100,4400,0.000418,0.07072843143256435,0.6175994823681656
12,1100,20,55,4385,0.000299,0.040812814005188214,0.6175994823681656
12,1100,22,50,4358,0.000279,0.03854514542989074,0.6175994823681656
12,1100,25,44,4331,0.000257,0.03546074537845023,0.6175994823681656
12,1100,44,25,3997,0.000267,0.01889031248147366,0.6175994823681656
12,1100,50,22,3912,0.000290,0.016951963281141347,0.6175994823681656
12,1100,55,20,3765,0.000258,0.014367486620382008,0.6175994823681656
12,1100,100,11,2878,0.000257,0.006364318002393343,0.6175994823681656
12,1100,110,10,2765,0.000260,0.00722787972461203,0.6175994823681656
12,1100,220,5,1723,0.000257,0.001047328897616162,0.6175994823681656
12,1100,275,4,1417,0.000247,0.0023912026853952772,0.6175994823681656
12,1100,550,2,832,0.000245,0.00013084198676438508,0.6175994823681656
12,1100,1100,1,510,0.000261,0.0,0.6175994823681656
13,1200,1,1200,4800,0.000280,0.38240051763183436,0.6175994823681656
13,1200,2,600,4800,0.000280,0.2110747699440787,0.6175994823681656
13,1200,3,400,4800,0.000270,0.16151460777064974,0.6175994823681656
13,1200,4,300,4800,0.000588,0.13532468730087055,0.6175994823681656
13,1200,5,240,4800,0.000323,0.1203949589462796,0.6175994823681656
13,1200,6,200,4800,0.000285,0.10503559806166629,0.6175994823681656
13,1200,8,150,4800,0.000283,0.08701376929525284,0.6175994823681656
13,1200,10,120,4800,0.000281,0.07373124960453914,0.6175994823681656
13,1200,12,100,4800,0.000282,0.0625235698441784,0.6175994823681656
13,1200,15,80,4793,0.000283,0.05115486551913917,0.6175994823681656
13,1200,16,75,4800,0.000284,0.04993430186630299,0.6175994823681656
13,1200,20,60,4785,0.000282,0.04109164446365132,0.6175994823681656
13,1200,24,50,4715,0.000286,0.03377817944620298,0.6175994823681656
13,1200,25,48,4731,0.000289,0.035480929662127014,0.6175994823681656
13,1200,30,40,4642,0.000283,0.027939153850551124,0.6175994823681656
13,1200,40,30,4490,0.000281,0.021064241986747057,0.6175994823681656
13,1200,48,25,4211,0.000283,0.02323498040622285,0.6175994823681656
13,1200,50,24,4262,0.000283,0.016743511748199547,0.6175994823681656
13,1200,60,20,3960,0.000282,0.0152335237182194,0.6175994823681656
13,1200,75,16,3630,0.000280,0.013356053706532145,0.6175994823681656
13,1200,80,15,3549,0.000282,0.012418936839971417,0.6175994823681656
13,1200,100,12,3146,0.000284,0.006458225815731855,0.6175994823681656
13,1200,120,10,2844,0.000280,0.006700038463475666,0.6175994823681656
13,1200,150,8,2417,0.000281,0.006024242833518878,0.6175994823681656
13,1200,200,6,2026,0.000280,0.0010254957129544051,0.6175994823681656
13,1200,240,5,1743,0.000281,0.006594511362445488,0.6175994823681656
13,1200,300,4,1449,0.000267,0.003375939591998889,0.6175994823681656
13,1200,400,3,1181,0.000269,0.0011346675266166173,0.6175994823681656
13,1200,600,2,863,0.000283,0.0,0.6175994823681656
13,1200,1200,1,515,0.000283,0.0,0.6175994823681656
14,1300,1,1300,5200,0.000299,0.38240051763183436,0.6175994823681656
14,1300,2,650,5200,0.000305,0.21119085441623575,0.6175994823681656
14,1300,4,325,5200,0.000294,0.13587401374505803,0.6175994823681656
14,1300,5,260,5200,0.000309,0.12001301133298903,0.6175994823681656
14,1300,10,130,5200,0.000290,0.07289887654804283,0.6175994823681656
14,1300,13,100,5200,0.000307,0.06199586951965752,0.6175994823681656
14,1300,20,65,5185,0.000294,0.04115619568011686,0.6175994823681656
14,1300,25,52,5123,0.000304,0.03637610240762523,0.6175994823681656
14,1300,26,50,5092,0.000291,0.03456940233522876,0.6175994823681656
14,1300,50,26,4615,0.000307,0.01739441784689899,0.6175994823681656
14,1300,52,25,4507,0.000295,0.01829599045470287,0.6175994823681656
14,1300,65,20,4131,0.000303,0.015300180029829136,0.6175994823681656
14,1300,100,13,3418,0.000290,0.006415958270946875,0.6175994823681656
14,1300,130,10,2860,0.000304,0.010203390703905302,0.6175994823681656
14,1300,260,5,1779,0.000289,0.0032774120317047295,0.6175994823681656
14,1300,325,4,1527,0.000290,0.002358398726925892,0.6175994823681656
14,1300,650,2,880,0.000288,0.0024896225326038746,0.6175994823681656
14,1300,1300,1,539,0.000417,0.0049869203577794785,0.6175994823681656
15,1400,1,1400,5600,0.000322,0.38240051763183436,0.6175994823681656
15,1400,2,700,5600,0.000357,0.21076991511620702,0.6175994823681656
15,1400,4,350,5600,0.000314,0.135763028587219,0.6175994823681656
15,1400,5,280,5600,0.000331,0.11977523274891788,0.6175994823681656
15,1400,7,200,5600,0.000318,0.0959447568460372,0.6175994823681656
15,1400,8,175,5600,0.000329,0.08696617238715854,0.6175994823681656
15,1400,10,140,5600,0.000318,0.07223297677862583,0.6175994823681656
15,1400,14,100,5600,0.000328,0.055546441890191534,0.6175994823681656
15,1400,20,70,5585,0.000312,0.041099505233059386,0.6175994823681656
15,1400,25,56,5515,0.000329,0.03662114339986533,0.6175994823681656
15,1400,28,50,5445,0.000314,0.03056380446498752,0.6175994823681656
15,1400,35,40,5302,0.000327,0.024194012846006308,0.6175994823681656
15,1400,40,35,5209,0.000444,0.021326412426839858,0.6175994823681656
15,1400,50,28,4988,0.000327,0.017928866303113633,0.6175994823681656
15,1400,56,25,4752,0.000313,0.015485513173512322,0.6175994823681656
15,1400,70,20,4314,0.000326,0.012412294466922047,0.6175994823681656
15,1400,100,14,3686,0.000309,0.006775423360076416,0.6175994823681656
15,1400,140,10,2996,0.000329,0.005869383557658092,0.6175994823681656
15,1400,175,8,2508,0.000311,0.006617594244123559,0.6175994823681656
15,1400,200,7,2361,0.000328,0.0009163386239845472,0.6175994823681656
15,1400,280,5,1853,0.000314,0.0028834215371981164,0.6175994823681656
15,1400,350,4,1539,0.000313,0.0034416312870794163,0.6175994823681656
15,1400,700,2,916,0.000313,0.0014404269655994284,0.6175994823681656
15,1400,1400,1,551,0.000326,0.0,0.6175994823681656
16,1500,1,1500,6000,0.000345,0.38240051763183436,0.6175994823681656
16,1500,2,750,6000,0.000350,0.21110860120428143,0.6175994823681656
16,1500,3,500,6000,0.000534,0.16154214584532,0.6175994823681656
16,1500,4,375,6000,0.000378,0.1360058717864645,0.6175994823681656
16,1500,5,300,6000,0.000339,0.11957625206630551,0.6175994823681656
16,1500,6,250,6000,0.000490,0.10516736387971704,0.6175994823681656
16,1500,10,150,6000,0.000335,0.07276706234794572,0.6175994823681656
16,1500,12,125,6000,0.000351,0.06246626868506755,0.6175994823681656
16,1500,15,100,5993,0.000335,0.05200150803914183,0.6175994823681656
16,1500,20,75,5981,0.000352,0.04177515464363246,0.6175994823681656
16,1500,25,60,5904,0.000335,0.036995534818940135,0.6175994823681656
16,1500,30,50,5799,0.000351,0.026956134035947765,0.6175994823681656
16,1500,50,30,5342,0.000335,0.017589790790202398,0.6175994823681656
16,1500,60,25,4958,0.000350,0.015384174731394085,0.6175994823681656
16,1500,75,20,4509,0.000333,0.0122528937528672,0.6175994823681656
16,1500,100,15,3947,0.000352,0.0067967836862841136,0.6175994823681656
16,1500,125,12,3412,0.000339,0.008593058828712086,0.6175994823681656
16,1500,150,10,3013,0.000349,0.005342424426280634,0.6175994823681656
16,1500,250,6,2137,0.000338,0.0044386084930013725,0.6175994823681656
16,1500,300,5,1835,0.000350,0.003093525962196475,0.6175994823681656
16,1500,375,4,1544,0.000335,0.0032774120317047295,0.6175994823681656
16,1500,500,3,1254,0.000336,0.0009599996928001397,0.6175994823681656
16,1500,750,2,909,0.000338,0.0014404269655994284,0.6175994823681656
16,1500,1500,1,568,0.000352,0.0028834215371981164,0.6175994823681656
17,1600,1,1600,6400,0.000369,0.38240051763183436,0.6175994823681656
17,1600,2,800,6400,0.000378,0.21102837243421113,0.6175994823681656
17,1600,4,400,6400,0.000360,0.13612152999359461,0.6175994823681656
17,1600,5,320,6400,0.000379,0.11916178351370199,0.6175994823681656
17,1600,8,200,6400,0.000355,0.08660367909911915,0.6175994823681656
17,1600,10,160,6400,0.000375,0.07249702742409514,0.6175994823681656
17,1600,16,100,6400,0.000358,0.050170692230693925,0.6175994823681656
17,1600,20,80,6373,0.000373,0.04229963726283881,0.6175994823681656
17,1600,25,64,6296,0.000357,0.036983129778280444,0.6175994823681656
17,1600,32,50,6183,0.000377,0.0271752328390924,0.6175994823681656
17,1600,40,40,5959,0.000355,0.021308185671086166,0.6175994823681656
17,1600,50,32,5695,0.000376,0.017522947423765034,0.6175994823681656
17,1600,64,25,5122,0.000359,0.013599481494252497,0.6175994823681656
17,1600,80,20,4672,0.000373,0.013143280191611262,0.6175994823681656
17,1600,100,16,4223,0.000362,0.006370311793662986,0.6175994823681656
17,1600,160,10,3118,0.000373,0.004065968049413171,0.6175994823681656
17,1600,200,8,2708,0.000354,0.0012274751477443502,0.6175994823681656
17,1600,320,5,1820,0.000373,0.001545285365517457,0.6175994823681656
17,1600,400,4,1584,0.000357,0.0008508514372157494,0.6175994823681656
17,1600,800,2,933,0.000359,0.00013084198676438508,0.6175994823681656
17,1600,1600,1,572,0.000356,0.0,0.6175994823681656
18,1700,1,1700,6800,0.000379,0.38240051763183436,0.6175994823681656
18,1700,2,850,6800,0.000398,0.2109868945127371,0.6175994823681656
18,1700,4,425,6800,0.000384,0.1359099088092478,0.6175994823681656
18,1700,5,340,6800,0.000384,0.11955566040299537,0.6175994823681656
18,1700,10,170,6800,0.000380,0.07296547460695624,0.6175994823681656
18,1700,17,100,6789,0.000381,0.049406142108811335,0.6175994823681656
18,1700,20,85,6773,0.000377,0.04240114257324612,0.6175994823681656
18,1700,25,68,6696,0.000380,0.0365053124681084,0.6175994823681656
18,1700,34,50,6521,0.000385,0.02739439002965971,0.6175994823681656
18,1700,50,34,6033,0.000377,0.01756226638923164,0.6175994823681656
18,1700,68,25,5293,0.000381,0.016115159962687753,0.6175994823681656
18,1700,85,20,4751,0.000378,0.013183170996750482,0.6175994823681656
18,1700,100,17,4483,0.000376,0.006327651066105888,0.6175994823681656
18,1700,170,10,3177,0.000378,0.005645384119944086,0.6175994823681656
18,1700,340,5,1922,0.000643,0.0028834215371981164,0.6175994823681656
18,1700,425,4,1623,0.000383,0.0033430957410048867,0.6175994823681656
18,1700,850,2,949,0.000383,0.00013084198676438508,0.6175994823681656
18,1700,1700,1,585,0.000377,0.00026170514194601147,0.6175994823681656
