configuration,num_cells,cms_width,cms_depth,size_cms,time_cms,error_cms,Act_jaccard_similarity
1,50,1,50,200,0.000015,0.7105924827541745,0.28940751724582553
1,50,2,25,200,0.000016,0.5206258597696467,0.28940751724582553
1,50,5,10,200,0.000015,0.3712255160664731,0.28940751724582553
1,50,10,5,200,0.000015,0.22880342298220974,0.28940751724582553
1,50,25,2,200,0.000015,0.1565672504944774,0.28940751724582553
1,50,50,1,177,0.000015,0.09842122468741993,0.28940751724582553
2,100,1,100,400,0.000026,0.7105924827541745,0.28940751724582553
2,100,2,50,400,0.000027,0.5228367297848122,0.28940751724582553
2,100,4,25,400,0.000027,0.37918915957703286,0.28940751724582553
2,100,5,20,400,0.000026,0.35661528016991867,0.28940751724582553
2,100,10,10,400,0.000025,0.26017525759204935,0.28940751724582553
2,100,20,5,400,0.000026,0.1526783157029516,0.28940751724582553
2,100,25,4,393,0.000025,0.15382821727096113,0.28940751724582553
2,100,50,2,350,0.000028,0.09133117795610751,0.28940751724582553
2,100,100,1,269,0.000027,0.042771261146234696,0.28940751724582553
3,200,1,200,800,0.000049,0.7105924827541745,0.28940751724582553
3,200,2,100,800,0.000047,0.5121216206864514,0.28940751724582553
3,200,4,50,800,0.000049,0.4008580741865562,0.28940751724582553
3,200,5,40,800,0.000048,0.36678716843947673,0.28940751724582553
3,200,8,25,800,0.000048,0.2810280901829631,0.28940751724582553
3,200,10,20,800,0.000049,0.24942097262483592,0.28940751724582553
3,200,20,10,797,0.000049,0.17131013333590528,0.28940751724582553
3,200,25,8,789,0.000049,0.1668457251930346,0.28940751724582553
3,200,40,5,742,0.000048,0.0880598712137527,0.28940751724582553
3,200,50,4,696,0.000049,0.10068805182454804,0.28940751724582553
3,200,100,2,525,0.000060,0.04597340016086471,0.28940751724582553
3,200,200,1,332,0.000048,0.013693864041638637,0.28940751724582553
4,300,1,300,1200,0.000071,0.7105924827541745,0.28940751724582553
4,300,2,150,1200,0.000073,0.5145178242973725,0.28940751724582553
4,300,3,100,1200,0.000072,0.4378946526775254,0.28940751724582553
4,300,4,75,1200,0.000079,0.38549408228520204,0.28940751724582553
4,300,5,60,1200,0.000072,0.3614680658915809,0.28940751724582553
4,300,6,50,1200,0.000072,0.33834501228160535,0.28940751724582553
4,300,10,30,1200,0.000072,0.2584123784311135,0.28940751724582553
4,300,12,25,1200,0.000071,0.23973799624123787,0.28940751724582553
4,300,15,20,1197,0.000072,0.20757606084432284,0.28940751724582553
4,300,20,15,1197,0.000073,0.17260928620063543,0.28940751724582553
4,300,25,12,1181,0.000071,0.16096262930199134,0.28940751724582553
4,300,30,10,1150,0.000103,0.14773544255010018,0.28940751724582553
4,300,50,6,1069,0.000072,0.09875836857753034,0.28940751724582553
4,300,60,5,991,0.000071,0.08342683656104416,0.28940751724582553
4,300,75,4,863,0.000073,0.08568272305119395,0.28940751724582553
4,300,100,3,786,0.000071,0.050655912423178795,0.28940751724582553
4,300,150,2,577,0.000072,0.04726750363972165,0.28940751724582553
4,300,300,1,360,0.000119,0.02241197639184994,0.28940751724582553
5,400,1,400,1600,0.000113,0.7105924827541745,0.28940751724582553
5,400,2,200,1600,0.000095,0.5066469103875495,0.28940751724582553
5,400,4,100,1600,0.000095,0.3892235926566712,0.28940751724582553
5,400,5,80,1600,0.000094,0.361717931137929,0.28940751724582553
5,400,8,50,1600,0.000095,0.2880860662990234,0.28940751724582553
5,400,10,40,1600,0.000095,0.2579124279016824,0.28940751724582553
5,400,16,25,1600,0.000095,0.19909528709345786,0.28940751724582553
5,400,20,20,1597,0.000094,0.1649581248202463,0.28940751724582553
5,400,25,16,1581,0.000091,0.15667180020473664,0.28940751724582553
5,400,40,10,1496,0.000094,0.0957875182151674,0.28940751724582553
5,400,50,8,1426,0.000095,0.10675304121839785,0.28940751724582553
5,400,80,5,1174,0.000098,0.05202808713798601,0.28940751724582553
5,400,100,4,1042,0.000096,0.04910138383836671,0.28940751724582553
5,400,200,2,663,0.000096,0.01773930802132262,0.28940751724582553
5,400,400,1,395,0.000095,0.013693864041638637,0.28940751724582553
6,500,1,500,2000,0.000124,0.7105924827541745,0.28940751724582553
6,500,2,250,2000,0.000135,0.5084228610536428,0.28940751724582553
6,500,4,125,2000,0.000221,0.38601490701000213,0.28940751724582553
6,500,5,100,2000,0.000359,0.36571878130420105,0.28940751724582553
6,500,10,50,2000,0.000121,0.256051383592895,0.28940751724582553
6,500,20,25,1997,0.000118,0.16534530570202738,0.28940751724582553
6,500,25,20,1969,0.000118,0.1569018627936587,0.28940751724582553
6,500,50,10,1764,0.000118,0.10653865506977,0.28940751724582553
6,500,100,5,1318,0.000119,0.046294460928804126,0.28940751724582553
6,500,125,4,1156,0.000120,0.03837127480741842,0.28940751724582553
6,500,250,2,714,0.000163,0.014798547312374677,0.28940751724582553
6,500,500,1,419,0.000118,0.012082689040372185,0.28940751724582553
7,600,1,600,2400,0.000145,0.7105924827541745,0.28940751724582553
7,600,2,300,2400,0.000139,0.5048411979225738,0.28940751724582553
7,600,3,200,2400,0.000142,0.44239138453390087,0.28940751724582553
7,600,4,150,2400,0.000141,0.3877094516000496,0.28940751724582553
