configuration,num_cells,cms_width,cms_depth,size_cms,time_cms,error_cms,Act_jaccard_similarity
1,50,1,50,200,0.000015,0.6565459797138443,0.3434540202861557
1,50,2,25,200,0.000014,0.5740694597888578,0.3434540202861557
1,50,5,10,200,0.000015,0.5260717744959978,0.3434540202861557
1,50,10,5,200,0.000015,0.4560781013622157,0.3434540202861557
1,50,25,2,200,0.000015,0.374242548614948,0.3434540202861557
1,50,50,1,177,0.000035,0.28919904093833415,0.3434540202861557
2,100,1,100,400,0.000025,0.6565459797138443,0.3434540202861557
2,100,2,50,400,0.000026,0.5742827434947007,0.3434540202861557
2,100,4,25,400,0.000026,0.5327960313107207,0.3434540202861557
2,100,5,20,400,0.000026,0.5144014571362556,0.3434540202861557
2,100,10,10,400,0.000025,0.46479884579463704,0.3434540202861557
2,100,20,5,400,0.000026,0.3689333902416021,0.3434540202861557
2,100,25,4,393,0.000026,0.3556730531798512,0.3434540202861557
2,100,50,2,350,0.000026,0.26355252826552966,0.3434540202861557
2,100,100,1,269,0.000027,0.1871191793771182,0.3434540202861557
3,200,1,200,800,0.000046,0.6565459797138443,0.3434540202861557
3,200,2,100,800,0.000048,0.5738065977428045,0.3434540202861557
3,200,4,50,800,0.000047,0.5264598140843565,0.3434540202861557
3,200,5,40,800,0.000047,0.5130304479006623,0.3434540202861557
3,200,8,25,800,0.000047,0.4839846051876078,0.3434540202861557
3,200,10,20,800,0.000047,0.45713116990065505,0.3434540202861557
3,200,20,10,797,0.000046,0.3679955775231888,0.3434540202861557
3,200,25,8,789,0.000046,0.3548614630438164,0.3434540202861557
3,200,40,5,742,0.000046,0.2739099998338528,0.3434540202861557
3,200,50,4,696,0.000047,0.2650388219206965,0.3434540202861557
3,200,100,2,525,0.000045,0.17399666256665158,0.3434540202861557
3,200,200,1,332,0.000046,0.1306025834874292,0.3434540202861557
4,300,1,300,1200,0.000068,0.6565459797138443,0.3434540202861557
4,300,2,150,1200,0.000069,0.580946544974437,0.3434540202861557
4,300,3,100,1200,0.000068,0.546585377585093,0.3434540202861557
4,300,4,75,1200,0.000069,0.5274813725728581,0.3434540202861557
4,300,5,60,1200,0.000084,0.5113833182077473,0.3434540202861557
4,300,6,50,1200,0.000069,0.4910313698721971,0.3434540202861557
4,300,10,30,1200,0.000071,0.4483984266376816,0.3434540202861557
4,300,12,25,1200,0.000069,0.4311562752929351,0.3434540202861557
4,300,15,20,1197,0.000069,0.41170174978843843,0.3434540202861557
4,300,20,15,1197,0.000069,0.3742376311598544,0.3434540202861557
