method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000015,,0.02240051763183437,,0.6175994823681656
MinHash,100.0,,,400.0,,0.000024,,0.04240051763183439,,0.6175994823681656
MinHash,200.0,,,800.0,,0.000042,,0.04240051763183439,,0.6175994823681656
MinHash,300.0,,,1200.0,,0.000061,,0.02573385096516767,,0.6175994823681656
MinHash,400.0,,,1600.0,,0.000081,,0.044900517631834336,,0.6175994823681656
MinHash,500.0,,,2000.0,,0.000102,,0.038400517631834385,,0.6175994823681656
MinHash,600.0,,,2400.0,,0.000120,,0.020733850965167666,,0.6175994823681656
MinHash,700.0,,,2800.0,,0.000144,,0.012400517631834362,,0.6175994823681656
MinHash,800.0,,,3200.0,,0.000159,,0.011150517631834389,,0.6175994823681656
MinHash,900.0,,,3600.0,,0.000180,,0.006844962076278827,,0.6175994823681656
MinHash,1000.0,,,4000.0,,0.000200,,0.013400517631834363,,0.6175994823681656
MinHash,1100.0,,,4400.0,,0.000238,,0.006036881268198013,,0.6175994823681656
MinHash,1200.0,,,4800.0,,0.000251,,0.010733850965167657,,0.6175994823681656
MinHash,1300.0,,,5200.0,,0.000257,,0.016246671477988195,,0.6175994823681656
MinHash,1400.0,,,5600.0,,0.000283,,0.006686231917548691,,0.6175994823681656
MinHash,1500.0,,,6000.0,,0.000300,,0.0017338509651676492,,0.6175994823681656
MinHash,1600.0,,,6400.0,,0.000321,,0.0019744823681656642,,0.6175994823681656
MinHash,1700.0,,,6800.0,,0.000340,,0.004165223514187244,,0.6175994823681656
MinHash,1800.0,,,7200.0,,0.000360,,0.011844962076278831,,0.6175994823681656
MinHash,1900.0,,,7600.0,,0.000379,,0.01082157026341335,,0.6175994823681656
MinHash,2000.0,,,8000.0,,0.000403,,0.007900517631834303,,0.6175994823681656
CountMinSketch,,25.0,2.0,,200.0,,0.000015,,0.041463147246102,0.6175994823681656
CountMinSketch,,50.0,2.0,,350.0,,0.000027,,0.019463626414678,0.6175994823681656
CountMinSketch,,100.0,2.0,,525.0,,0.000052,,0.0071618808066180595,0.6175994823681656
CountMinSketch,,150.0,2.0,,577.0,,0.000068,,0.008152427890329,0.6175994823681656
CountMinSketch,,200.0,2.0,,663.0,,0.00009,,0.00026170514194601147,0.6175994823681656
CountMinSketch,,250.0,2.0,,714.0,,0.000111,,0.005118570370171,0.6175994823681656
CountMinSketch,,300.0,2.0,,730.0,,0.000133,,0.004065968049413171,0.6175994823681656
CountMinSketch,,350.0,2.0,,774.0,,0.000155,,0.005711259890671,0.6175994823681656
CountMinSketch,,400.0,2.0,,794.0,,0.000179,,0.00013084198676438508,0.6175994823681656
CountMinSketch,,450.0,2.0,,799.0,,0.000309,,0.00255524240805,0.6175994823681656
CountMinSketch,,500.0,2.0,,835.0,,0.000225,,0.0014404269655994284,0.6175994823681656
CountMinSketch,,550.0,2.0,,832.0,,0.000244,,0.000130841986764,0.6175994823681656
CountMinSketch,,600.0,2.0,,863.0,,0.000303,,0,0.6175994823681656
CountMinSketch,,650.0,2.0,,880.0,,0.000313,,0.002489622532604,0.6175994823681656
CountMinSketch,,700.0,2.0,,916.0,,0.000759,,0.001440426965599,0.6175994823681656
CountMinSketch,,750.0,2.0,,909.0,,0.000384,,0.001440426965599,0.6175994823681656
CountMinSketch,,800.0,2.0,,933.0,,0.000352,,0.000130841986764,0.6175994823681656
CountMinSketch,,850.0,2.0,,949.0,,0.000376,,0.000130841986764,0.6175994823681656
CountMinSketch,,900.0,2.0,,958.0,,0.000397,,0.0014404269655994284,0.6175994823681656
CountMinSketch,,950.0,2.0,,959.0,,0.000420,,0,0.6175994823681656
CountMinSketch,,1000.0,2.0,,998.0,,0.000442,,0.0,0.6175994823681656
