method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000014,,0.04940751724582554,,0.28940751724582553
MinHash,100.0,,,400.0,,0.000023,,0.009407517245825503,,0.28940751724582553
MinHash,200.0,,,800.0,,0.000041,,0.009407517245825503,,0.28940751724582553
MinHash,300.0,,,1200.0,,0.000061,,0.006074183912492204,,0.28940751724582553
MinHash,400.0,,,1600.0,,0.000078,,0.006907517245825556,,0.28940751724582553
MinHash,500.0,,,2000.0,,0.000097,,0.025407517245825517,,0.28940751724582553
MinHash,600.0,,,2400.0,,0.000115,,0.021074183912492217,,0.28940751724582553
MinHash,700.0,,,2800.0,,0.000134,,0.007978945817254113,,0.28940751724582553
MinHash,800.0,,,3200.0,,0.000153,,0.01815751724582554,,0.28940751724582553
MinHash,900.0,,,3600.0,,0.000171,,0.012740850579158858,,0.28940751724582553
MinHash,1000.0,,,4000.0,,0.000191,,0.010407517245825504,,0.28940751724582553
MinHash,1100.0,,,4400.0,,0.000211,,0.011225699064007333,,0.28940751724582553
MinHash,1200.0,,,4800.0,,0.000229,,0.016074183912492213,,0.28940751724582553
MinHash,1300.0,,,5200.0,,0.000252,,0.014792132630440935,,0.28940751724582553
MinHash,1400.0,,,5600.0,,0.000267,,0.00726466010296839,,0.28940751724582553
MinHash,1500.0,,,6000.0,,0.000286,,0.007407517245825557,,0.28940751724582553
MinHash,1600.0,,,6400.0,,0.000305,,0.010032517245825545,,0.28940751724582553
MinHash,1700.0,,,6800.0,,0.000325,,0.008819281951707891,,0.28940751724582553
MinHash,1800.0,,,7200.0,,0.000344,,0.01162973946804774,,0.28940751724582553
MinHash,1900.0,,,7600.0,,0.000367,,0.00888120145635185,,0.28940751724582553
MinHash,2000.0,,,8000.0,,0.000389,,0.007407517245825557,,0.28940751724582553
CountMinSketch,,25.0,2.0,,200.0,,0.000014,,0.1565672504944774,0.28940751724582553
CountMinSketch,,50.0,2.0,,350.0,,0.000025,,0.09133117795610751,0.28940751724582553
CountMinSketch,,100.0,2.0,,525.0,,0.000046,,0.04597340016086471,0.28940751724582553
CountMinSketch,,150.0,2.0,,577.0,,0.000068,,0.04726750363972165,0.28940751724582553
CountMinSketch,,200.0,2.0,,663.0,,0.000090,,0.01773930802132262,0.28940751724582553
CountMinSketch,,250.0,2.0,,714.0,,0.000111,,0.014798547312374677,0.28940751724582553
CountMinSketch,,300.0,2.0,,730.0,,0.000190,,0.021638041587343948,0.28940751724582553
CountMinSketch,,350.0,2.0,,774.0,,0.000157,,0.010982599789285008,0.28940751724582553
CountMinSketch,,400.0,2.0,,794.0,,0.000320,,0.01254867192840875,0.28940751724582553
CountMinSketch,,450.0,2.0,,799.0,,0.000230,,0.00937811818504658,0.28940751724582553
CountMinSketch,,500.0,2.0,,835.0,,0.000259,,0.010771257335679407,0.28940751724582553
CountMinSketch,,550.0,2.0,,832.0,,0.000271,,0.013948624819993982,0.28940751724582553
CountMinSketch,,600.0,2.0,,863.0,,0.000297,,0.006978805878465499,0.28940751724582553
CountMinSketch,,650.0,2.0,,880.0,,0.000419,,0.005593777755469487,0.28940751724582553
CountMinSketch,,700.0,2.0,,916.0,,0.000341,,0.002373525867366777,0.28940751724582553
CountMinSketch,,750.0,2.0,,909.0,,0.000329,,0.002874329424933375,0.28940751724582553
CountMinSketch,,800.0,2.0,,933.0,,0.000350,,0.01030654566033512,0.28940751724582553
CountMinSketch,,850.0,2.0,,949.0,,0.000377,,0.005048972835401622,0.28940751724582553
CountMinSketch,,900.0,2.0,,958.0,,0.000395,,0.002665614093408264,0.28940751724582553
CountMinSketch,,950.0,2.0,,959.0,,0.000415,,0.007483187290049709,0.28940751724582553
CountMinSketch,,1000.0,2.0,,998.0,,0.000441,,0.004546482689476772,0.28940751724582553
