method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000014,,0.016545979713844305,,0.3434540202861557
MinHash,100.0,,,400.0,,0.000023,,0.016545979713844305,,0.3434540202861557
MinHash,200.0,,,800.0,,0.000041,,0.01845402028615567,,0.3434540202861557
MinHash,300.0,,,1200.0,,0.000060,,0.02678735361948903,,0.3434540202861557
MinHash,400.0,,,1600.0,,0.000079,,0.023454020286155675,,0.3434540202861557
MinHash,500.0,,,2000.0,,0.000097,,0.021454020286155673,,0.3434540202861557
MinHash,600.0,,,2400.0,,0.000117,,0.025120686952822324,,0.3434540202861557
MinHash,700.0,,,2800.0,,0.000136,,0.02059687742901284,,0.3434540202861557
MinHash,800.0,,,3200.0,,0.000155,,0.010954020286155663,,0.3434540202861557
MinHash,900.0,,,3600.0,,0.000174,,0.011231798063933485,,0.3434540202861557
MinHash,1000.0,,,4000.0,,0.000194,,0.005454020286155659,,0.3434540202861557
MinHash,1100.0,,,4400.0,,0.000217,,0.0038187069865716072,,0.3434540202861557
MinHash,1200.0,,,4800.0,,0.000233,,0.008212646380511002,,0.3434540202861557
MinHash,1300.0,,,5200.0,,0.000252,,0.014238287406152017,,0.3434540202861557
MinHash,1400.0,,,5600.0,,0.000271,,0.014403122570987192,,0.3434540202861557
MinHash,1500.0,,,6000.0,,0.000290,,0.014545979713844304,,0.3434540202861557
MinHash,1600.0,,,6400.0,,0.000310,,0.01592097971384432,,0.3434540202861557
MinHash,1700.0,,,6800.0,,0.000333,,0.01478127383149136,,0.3434540202861557
MinHash,1800.0,,,7200.0,,0.000349,,0.008768201936066533,,0.3434540202861557
MinHash,1900.0,,,7600.0,,0.000368,,0.009177558661212726,,0.3434540202861557
MinHash,2000.0,,,8000.0,,0.000388,,0.008545979713844298,,0.3434540202861557
CountMinSketch,,25.0,2.0,,200.0,,0.000015,,0.374242548614948,0.3434540202861557
CountMinSketch,,50.0,2.0,,350.0,,0.000025,,0.26355252826552966,0.3434540202861557
CountMinSketch,,100.0,2.0,,525.0,,0.000046,,0.17399666256665158,0.3434540202861557
CountMinSketch,,150.0,2.0,,577.0,,0.000070,,0.12605369462934762,0.3434540202861557
CountMinSketch,,200.0,2.0,,663.0,,0.000090,,0.11109143425929885,0.3434540202861557
CountMinSketch,,250.0,2.0,,714.0,,0.000112,,0.05426769332066522,0.3434540202861557
CountMinSketch,,300.0,2.0,,730.0,,0.000163,,0.0657409770716037,0.3434540202861557
CountMinSketch,,350.0,2.0,,774.0,,0.000187,,0.04245132237894028,0.3434540202861557
CountMinSketch,,400.0,2.0,,794.0,,0.000177,,0.058873843968507034,0.3434540202861557
CountMinSketch,,450.0,2.0,,799.0,,0.000199,,0.052950238746834355,0.3434540202861557
CountMinSketch,,500.0,2.0,,835.0,,0.000221,,0.030078017348622144,0.3434540202861557
CountMinSketch,,550.0,2.0,,832.0,,0.000245,,0.04886732748090894,0.3434540202861557
CountMinSketch,,600.0,2.0,,863.0,,0.000273,,0.03914595897484463,0.3434540202861557
CountMinSketch,,650.0,2.0,,880.0,,0.000354,,0.03083306828664717,0.3434540202861557
CountMinSketch,,700.0,2.0,,916.0,,0.000350,,0.013121981884365919,0.3434540202861557
CountMinSketch,,750.0,2.0,,909.0,,0.000477,,0.009039639899812213,0.3434540202861557
CountMinSketch,,800.0,2.0,,933.0,,0.000355,,0.031919909501005206,0.3434540202861557
CountMinSketch,,850.0,2.0,,949.0,,0.000411,,0.027723821479921362,0.3434540202861557
CountMinSketch,,900.0,2.0,,958.0,,0.000822,,0.02523716876431481,0.3434540202861557
CountMinSketch,,950.0,2.0,,959.0,,0.000460,,0.03262964560073023,0.3434540202861557
CountMinSketch,,1000.0,2.0,,998.0,,0.000440,,0.016535099800883635,0.3434540202861557
