method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000015,,0.07300225733634302,,0.5069977426636569
MinHash,100.0,,,400.0,,0.000024,,0.02300225733634309,,0.5069977426636569
MinHash,200.0,,,800.0,,0.000038,,0.006997742663656936,,0.5069977426636569
MinHash,300.0,,,1200.0,,0.000062,,0.0003310759969902266,,0.5069977426636569
MinHash,400.0,,,1600.0,,0.000077,,0.014497742663656943,,0.5069977426636569
MinHash,500.0,,,2000.0,,0.000092,,0.008997742663656938,,0.5069977426636569
MinHash,600.0,,,2400.0,,0.000112,,0.003664409330323637,,0.5069977426636569
MinHash,700.0,,,2800.0,,0.000131,,0.004140599806514045,,0.5069977426636569
MinHash,800.0,,,3200.0,,0.000150,,0.0019977426636569318,,0.5069977426636569
MinHash,900.0,,,3600.0,,0.000173,,0.007446701780787546,,0.5069977426636569
MinHash,1000.0,,,4000.0,,0.000189,,0.006002257336343075,,0.5069977426636569
MinHash,1100.0,,,4400.0,,0.000210,,0.002452288118202417,,0.5069977426636569
MinHash,1200.0,,,4800.0,,0.000231,,0.014497742663656943,,0.5069977426636569
MinHash,1300.0,,,5200.0,,0.000250,,0.013151588817503113,,0.5069977426636569
MinHash,1400.0,,,5600.0,,0.000264,,0.014854885520799777,,0.5069977426636569
MinHash,1500.0,,,6000.0,,0.000287,,0.01099774266365694,,0.5069977426636569
MinHash,1600.0,,,6400.0,,0.000303,,0.007622742663656923,,0.5069977426636569
MinHash,1700.0,,,6800.0,,0.000321,,0.011703625016598107,,0.5069977426636569
MinHash,1800.0,,,7200.0,,0.000340,,0.006442187108101405,,0.5069977426636569
MinHash,1900.0,,,7600.0,,0.000360,,0.006471426874183228,,0.5069977426636569
MinHash,2000.0,,,8000.0,,0.000384,,0.008497742663656938,,0.5069977426636569
CountMinSketch,,25.0,2.0,,800.0,,0.000015,,0.21838884972366768,0.5069977426636569
CountMinSketch,,50.0,2.0,,1600.0,,0.000021,,0.21259900325622172,0.5069977426636569
CountMinSketch,,100.0,2.0,,3200.0,,0.000038,,0.20750809990793062,0.5069977426636569
CountMinSketch,,150.0,2.0,,4800.0,,0.000058,,0.15196781980226104,0.5069977426636569
CountMinSketch,,200.0,2.0,,6400.0,,0.000081,,0.19934025050633364,0.5069977426636569
CountMinSketch,,250.0,2.0,,8000.0,,0.000101,,0.14699002117428617,0.5069977426636569
CountMinSketch,,300.0,2.0,,9600.0,,0.000126,,0.14175918615473937,0.5069977426636569
CountMinSketch,,350.0,2.0,,11200.0,,0.000144,,0.1354044660125041,0.5069977426636569
CountMinSketch,,400.0,2.0,,12800.0,,0.000168,,0.185866947059524,0.5069977426636569
CountMinSketch,,450.0,2.0,,14400.0,,0.000191,,0.12997890173038462,0.5069977426636569
CountMinSketch,,500.0,2.0,,16000.0,,0.000211,,0.12871994603164016,0.5069977426636569
CountMinSketch,,550.0,2.0,,17600.0,,0.000234,,0.1246444496416853,0.5069977426636569
CountMinSketch,,600.0,2.0,,19200.0,,0.000255,,0.12390261291843907,0.5069977426636569
CountMinSketch,,650.0,2.0,,20785.0,,0.000280,,0.12157078181542147,0.5069977426636569
CountMinSketch,,700.0,2.0,,22400.0,,0.000303,,0.11941068659512866,0.5069977426636569
CountMinSketch,,750.0,2.0,,24000.0,,0.000320,,0.11953176464549309,0.5069977426636569
CountMinSketch,,800.0,2.0,,25600.0,,0.000346,,0.16591734333621777,0.5069977426636569
CountMinSketch,,850.0,2.0,,27193.0,,0.000369,,0.11472454778560692,0.5069977426636569
CountMinSketch,,900.0,2.0,,28769.0,,0.000392,,0.11226611805873787,0.5069977426636569
CountMinSketch,,950.0,2.0,,30354.0,,0.000412,,0.1569180701305829,0.5069977426636569
CountMinSketch,,1000.0,2.0,,31907.0,,0.000431,,0.10871732096702291,0.5069977426636569
