method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.5757575757575758,,0.0,2.0,,,249.0,1.1e-05,,25.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,277.0,1.9e-05,,50.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,303.0,3.7e-05,,100.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,335.0,5.5e-05,,150.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,369.0,7.7e-05,,200.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,401.0,9.8e-05,,250.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,411.0,0.00012,,300.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,459.0,0.00014,,350.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,469.0,0.00016,,400.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,509.0,0.000199,,450.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,527.0,0.000205,,500.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,559.0,0.000226,,550.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,577.0,0.000245,,600.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,609.0,0.000268,,650.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,635.0,0.000289,,700.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,651.0,0.00031,,750.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,677.0,0.000335,,800.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,709.0,0.000352,,850.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,735.0,0.000392,,900.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,759.0,0.000394,,950.0
CountMinSketch,0.5757575757575758,,0.0,2.0,,,777.0,0.000418,,1000.0
MinHash,0.575758,0.0242424,,,1600.0,2.65e-07,,,50.0,
MinHash,0.575758,0.0142424,,,3200.0,4.65e-07,,,100.0,
MinHash,0.575758,0.0442424,,,6400.0,1.071e-06,,,200.0,
MinHash,0.575758,0.0275758,,,9600.0,1.406e-06,,,300.0,
MinHash,0.575758,0.0267424,,,12800.0,1.851e-06,,,400.0,
MinHash,0.575758,0.0462424,,,16000.0,2.345e-06,,,500.0,
MinHash,0.575758,0.0592424,,,19200.0,2.57e-06,,,600.0,
MinHash,0.575758,0.0442424,,,22400.0,3.358e-06,,,700.0,
MinHash,0.575758,0.0304924,,,25600.0,3.816e-06,,,800.0,
MinHash,0.575758,0.0453535,,,28800.0,3.995e-06,,,900.0,
MinHash,0.575758,0.0402424,,,32000.0,4.583e-06,,,1000.0,
MinHash,0.575758,0.0333333,,,35200.0,5.029e-06,,,1100.0,
MinHash,0.575758,0.0392424,,,38400.0,5.485e-06,,,1200.0,
MinHash,0.575758,0.0350117,,,41600.0,6.089e-06,,,1300.0,
MinHash,0.575758,0.0363853,,,44800.0,6.355e-06,,,1400.0,
MinHash,0.575758,0.0429091,,,48000.0,6.885e-06,,,1500.0,
MinHash,0.575758,0.0229924,,,51200.0,7.407e-06,,,1600.0,
MinHash,0.575758,0.0265954,,,54400.0,7.821e-06,,,1700.0,
MinHash,0.575758,0.0514646,,,57600.0,8.063e-06,,,1800.0,
MinHash,0.575758,0.0395056,,,60800.0,8.444e-06,,,1900.0,
MinHash,0.575758,0.0267424,,,64000.0,9.435e-06,,,2000.0,
