method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000011,,0.15289256198347112,,0.6528925619834711
MinHash,100.0,,,400.0,,0.000017,,0.05289256198347114,,0.6528925619834711
MinHash,200.0,,,800.0,,0.000033,,0.02789256198347112,,0.6528925619834711
MinHash,300.0,,,1200.0,,0.000051,,0.022892561983471116,,0.6528925619834711
MinHash,400.0,,,1600.0,,0.000068,,0.01039256198347116,,0.6528925619834711
MinHash,500.0,,,2000.0,,0.000091,,0.012892561983471107,,0.6528925619834711
MinHash,600.0,,,2400.0,,0.000108,,0.011225895316804402,,0.6528925619834711
MinHash,700.0,,,2800.0,,0.000127,,0.012892561983471107,,0.6528925619834711
MinHash,800.0,,,3200.0,,0.000147,,0.02039256198347117,,0.6528925619834711
MinHash,900.0,,,3600.0,,0.000166,,0.01733700642791558,,0.6528925619834711
MinHash,1000.0,,,4000.0,,0.000184,,0.021892561983471115,,0.6528925619834711
MinHash,1100.0,,,4400.0,,0.000204,,0.016528925619834767,,0.6528925619834711
MinHash,1200.0,,,4800.0,,0.000227,,0.014559228650137812,,0.6528925619834711
MinHash,1300.0,,,5200.0,,0.000247,,0.017507946598855684,,0.6528925619834711
MinHash,1400.0,,,5600.0,,0.000262,,0.020035419126328224,,0.6528925619834711
MinHash,1500.0,,,6000.0,,0.000285,,0.02022589531680441,,0.6528925619834711
MinHash,1600.0,,,6400.0,,0.000303,,0.01601756198347115,,0.6528925619834711
MinHash,1700.0,,,6800.0,,0.000321,,0.013480797277588774,,0.6528925619834711
MinHash,1800.0,,,7200.0,,0.000339,,0.011225895316804402,,0.6528925619834711
MinHash,1900.0,,,7600.0,,0.000359,,0.00973466724662897,,0.6528925619834711
MinHash,2000.0,,,8000.0,,0.000380,,0.006892561983471102,,0.6528925619834711
CountMinSketch,,25.0,2.0,,80.0,,0.000011,,0.056509147418238315,0.6528925619834711
CountMinSketch,,50.0,2.0,,106.0,,0.000019,,0.007547454620929095,0.6528925619834711
CountMinSketch,,100.0,2.0,,118.0,,0.000036,,0.007547454620929095,0.6528925619834711
CountMinSketch,,150.0,2.0,,146.0,,0.000056,,0.007547454620929095,0.6528925619834711
CountMinSketch,,200.0,2.0,,163.0,,0.000077,,0.0,0.6528925619834711
CountMinSketch,,250.0,2.0,,171.0,,0.000098,,0.0,0.6528925619834711
CountMinSketch,,300.0,2.0,,184.0,,0.000120,,0.007547454620929095,0.6528925619834711
CountMinSketch,,350.0,2.0,,196.0,,0.000140,,0.007547454620929095,0.6528925619834711
CountMinSketch,,400.0,2.0,,217.0,,0.000163,,0.0,0.6528925619834711
CountMinSketch,,450.0,2.0,,225.0,,0.000182,,0.007547454620929095,0.6528925619834711
CountMinSketch,,500.0,2.0,,234.0,,0.000202,,0.0,0.6528925619834711
CountMinSketch,,550.0,2.0,,254.0,,0.000223,,0.0,0.6528925619834711
CountMinSketch,,600.0,2.0,,263.0,,0.000247,,0.0,0.6528925619834711
CountMinSketch,,650.0,2.0,,279.0,,0.000270,,0.0,0.6528925619834711
CountMinSketch,,700.0,2.0,,284.0,,0.000289,,0.007547454620929095,0.6528925619834711
CountMinSketch,,750.0,2.0,,304.0,,0.000311,,0.0,0.6528925619834711
CountMinSketch,,800.0,2.0,,317.0,,0.000333,,0.0,0.6528925619834711
CountMinSketch,,850.0,2.0,,329.0,,0.000352,,0.0,0.6528925619834711
CountMinSketch,,900.0,2.0,,338.0,,0.000372,,0.007547454620929095,0.6528925619834711
CountMinSketch,,950.0,2.0,,354.0,,0.000396,,0.0,0.6528925619834711
CountMinSketch,,1000.0,2.0,,367.0,,0.000417,,0.0,0.6528925619834711
