method,query,selectivity,time,threshold,dataset
cms_minhash,set_1439401.csv,low,70.86130785942078,0.7,Setsimilarity
cms_minhash_lsh,set_1439401.csv,low,0.006612062454223633,0.7,Setsimilarity
cms_minhash,set_4378362.csv,low,70.32030320167542,0.7,Setsimilarity
cms_minhash_lsh,set_4378362.csv,low,0.006100654602050781,0.7,Setsimilarity
cms_minhash,set_3035077.csv,low,71.40221738815308,0.7,Setsimilarity
cms_minhash_lsh,set_3035077.csv,low,0.005212545394897461,0.7,Setsimilarity
cms_minhash,set_1647175.csv,low,70.95638275146484,0.7,Setsimilarity
cms_minhash_lsh,set_1647175.csv,low,0.004641056060791016,0.7,Setsimilarity
cms_minhash,set_4378352.csv,low,70.58372688293457,0.7,Setsimilarity
cms_minhash_lsh,set_4378352.csv,low,0.006081819534301758,0.7,Setsimilarity
cms_minhash,set_4846367.csv,low,71.25435090065002,0.7,Setsimilarity
cms_minhash_lsh,set_4846367.csv,low,0.0033385753631591797,0.7,Setsimilarity
cms_minhash,set_3035261.csv,low,70.53618741035461,0.7,Setsimilarity
cms_minhash_lsh,set_3035261.csv,low,0.004883766174316406,0.7,Setsimilarity
cms_minhash,set_1650332.csv,low,70.88713145256042,0.7,Setsimilarity
cms_minhash_lsh,set_1650332.csv,low,0.009252309799194336,0.7,Setsimilarity
cms_minhash,set_1655381.csv,medium,70.45554614067078,0.7,Setsimilarity
cms_minhash_lsh,set_1655381.csv,medium,0.003730297088623047,0.7,Setsimilarity
cms_minhash,set_1082641.csv,medium,70.55284595489502,0.7,Setsimilarity
cms_minhash_lsh,set_1082641.csv,medium,0.004618406295776367,0.7,Setsimilarity
cms_minhash,set_3279341.csv,medium,71.04229688644409,0.7,Setsimilarity
cms_minhash_lsh,set_3279341.csv,medium,0.0034873485565185547,0.7,Setsimilarity
cms_minhash,set_3287684.csv,medium,70.41261386871338,0.7,Setsimilarity
cms_minhash_lsh,set_3287684.csv,medium,0.002605438232421875,0.7,Setsimilarity
cms_minhash,set_3225324.csv,medium,70.88548803329468,0.7,Setsimilarity
cms_minhash_lsh,set_3225324.csv,medium,0.0057985782623291016,0.7,Setsimilarity
cms_minhash,set_2022878.csv,medium,70.35813784599304,0.7,Setsimilarity
cms_minhash_lsh,set_2022878.csv,medium,0.0013778209686279297,0.7,Setsimilarity
cms_minhash,set_2022766.csv,medium,70.26639318466187,0.7,Setsimilarity
cms_minhash_lsh,set_2022766.csv,medium,0.00214385986328125,0.7,Setsimilarity
cms_minhash,set_2757622.csv,medium,70.18429684638977,0.7,Setsimilarity
cms_minhash_lsh,set_2757622.csv,medium,0.0009162425994873047,0.7,Setsimilarity
cms_minhash,set_1649665.csv,medium,70.71214747428894,0.7,Setsimilarity
cms_minhash_lsh,set_1649665.csv,medium,0.0034384727478027344,0.7,Setsimilarity
cms_minhash,set_1941277.csv,medium,70.41340851783752,0.7,Setsimilarity
cms_minhash_lsh,set_1941277.csv,medium,0.0039081573486328125,0.7,Setsimilarity
cms_minhash,set_1466953.csv,medium,70.31177568435669,0.7,Setsimilarity
cms_minhash_lsh,set_1466953.csv,medium,0.0009479522705078125,0.7,Setsimilarity
cms_minhash,set_3225313.csv,medium,70.74529671669006,0.7,Setsimilarity
cms_minhash_lsh,set_3225313.csv,medium,0.005724906921386719,0.7,Setsimilarity
cms_minhash,set_1302350.csv,medium,74.45972108840942,0.7,Setsimilarity
cms_minhash_lsh,set_1302350.csv,medium,0.0074155330657958984,0.7,Setsimilarity
cms_minhash,set_100477.csv,medium,73.98430943489075,0.7,Setsimilarity
cms_minhash_lsh,set_100477.csv,medium,0.0025522708892822266,0.7,Setsimilarity
cms_minhash,set_1237906.csv,high,73.61212348937988,0.7,Setsimilarity
cms_minhash_lsh,set_1237906.csv,high,0.0003542900085449219,0.7,Setsimilarity
cms_minhash,set_2062632.csv,high,73.3534893989563,0.7,Setsimilarity
cms_minhash_lsh,set_2062632.csv,high,0.05563163757324219,0.7,Setsimilarity
cms_minhash,set_2675679.csv,high,73.87424945831299,0.7,Setsimilarity
cms_minhash_lsh,set_2675679.csv,high,0.05336141586303711,0.7,Setsimilarity
cms_minhash,set_1082432.csv,high,70.77342748641968,0.7,Setsimilarity
cms_minhash_lsh,set_1082432.csv,high,0.005028247833251953,0.7,Setsimilarity
cms_minhash,set_4349463.csv,high,70.32564043998718,0.7,Setsimilarity
cms_minhash_lsh,set_4349463.csv,high,0.0006029605865478516,0.7,Setsimilarity
cms_minhash,set_4598170.csv,high,70.56552195549011,0.7,Setsimilarity
cms_minhash_lsh,set_4598170.csv,high,0.0018954277038574219,0.7,Setsimilarity
cms_minhash,set_1649507.csv,high,70.56153893470764,0.7,Setsimilarity
cms_minhash_lsh,set_1649507.csv,high,0.002224445343017578,0.7,Setsimilarity
cms_minhash,set_1655666.csv,high,73.23752808570862,0.7,Setsimilarity
cms_minhash_lsh,set_1655666.csv,high,0.01865243911743164,0.7,Setsimilarity
cms_minhash,set_3798495.csv,high,70.75192832946777,0.7,Setsimilarity
cms_minhash_lsh,set_3798495.csv,high,0.0006389617919921875,0.7,Setsimilarity
cms_minhash,set_3079718.csv,high,70.23577523231506,0.7,Setsimilarity
cms_minhash_lsh,set_3079718.csv,high,0.003023386001586914,0.7,Setsimilarity
cms_minhash,set_3826120.csv,high,70.3361029624939,0.7,Setsimilarity
cms_minhash_lsh,set_3826120.csv,high,0.0010654926300048828,0.7,Setsimilarity
cms_minhash,set_4001420.csv,high,70.5190269947052,0.7,Setsimilarity
cms_minhash_lsh,set_4001420.csv,high,0.0006089210510253906,0.7,Setsimilarity
cms_minhash,set_4058082.csv,high,70.6761531829834,0.7,Setsimilarity
cms_minhash_lsh,set_4058082.csv,high,0.000997304916381836,0.7,Setsimilarity
cms_minhash,set_3363156.csv,high,70.27023243904114,0.7,Setsimilarity
cms_minhash_lsh,set_3363156.csv,high,0.0008459091186523438,0.7,Setsimilarity
cms_minhash,set_439649.csv,high,70.44789505004883,0.7,Setsimilarity
cms_minhash_lsh,set_439649.csv,high,0.006144046783447266,0.7,Setsimilarity
