method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,minhash_creation_time,threshold,dataset,width,depth,candidates
cms_minhash_lsh,molecule_irac_classification.csv,mol_irac_id,"low
",5,0,0,540,1.0,1.0,1.0,1.0,0.28814220428466797,0.0017733573913574219,0.7,chembl_2000_5,2000,5,8
cms_minhash_lsh,research_companies.csv,co_stem_id,"low
",5,0,0,540,1.0,1.0,1.0,1.0,0.25671958923339844,0.01773858070373535,0.7,chembl_2000_5,2000,5,7
cms_minhash_lsh,activity_stds_lookup.csv,std_act_id,"low
",4,0,0,541,1.0,1.0,1.0,1.0,0.2574176788330078,0.004609107971191406,0.7,chembl_2000_5,2000,5,7
cms_minhash_lsh,research_stem.csv,res_stem_id,"low
",5,0,0,540,1.0,1.0,1.0,1.0,0.2977471351623535,0.013383626937866211,0.7,chembl_2000_5,2000,5,8
cms_minhash_lsh,molecule_frac_classification.csv,mol_frac_id,"low
",4,0,0,541,1.0,1.0,1.0,1.0,0.3041985034942627,0.0015954971313476562,0.7,chembl_2000_5,2000,5,8
cms_minhash_lsh,molecule_hrac_classification.csv,mol_hrac_id,"low
",6,0,0,539,1.0,1.0,1.0,1.0,0.2950782775878906,0.00788569450378418,0.7,chembl_2000_5,2000,5,8
cms_minhash_lsh,irac_classification.csv,irac_class_id,"low
",5,0,0,540,1.0,1.0,1.0,1.0,0.343400239944458,0.0060596466064453125,0.7,chembl_2000_5,2000,5,9
cms_minhash_lsh,hrac_classification.csv,hrac_class_id,"low
",4,0,0,541,1.0,1.0,1.0,1.0,0.3224506378173828,0.002134084701538086,0.7,chembl_2000_5,2000,5,9
cms_minhash_lsh,assay_classification.csv,assay_class_id,"low
",4,0,0,541,1.0,1.0,1.0,1.0,0.39305830001831055,0.006131172180175781,0.7,chembl_2000_5,2000,5,11
cms_minhash_lsh,drug_mechanism.csv,molecular_mechanism,"low
",3,0,0,542,1.0,1.0,1.0,1.0,0.23048949241638184,0.0005280971527099609,0.7,chembl_2000_5,2000,5,6
cms_minhash_lsh,drug_mechanism.csv,direct_interaction,"low
",3,0,0,542,1.0,1.0,1.0,1.0,0.22045183181762695,0.0005245208740234375,0.7,chembl_2000_5,2000,5,6
cms_minhash_lsh,product_patents.csv,delist_flag,"low
",4,0,0,541,1.0,1.0,1.0,1.0,0.5955398082733154,0.0005824565887451172,0.7,chembl_2000_5,2000,5,17
cms_minhash_lsh,product_patents.csv,drug_substance_flag,"low
",4,0,0,541,1.0,1.0,1.0,1.0,0.6096043586730957,0.0007054805755615234,0.7,chembl_2000_5,2000,5,17
cms_minhash_lsh,assays.csv,assay_group,"low
",1,0,0,544,1.0,1.0,1.0,1.0,0.037297964096069336,0.009520769119262695,0.7,chembl_2000_5,2000,5,1
cms_minhash_lsh,go_classification.csv,class_level,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.024912595748901367,0.0007278919219970703,0.7,chembl_2000_5,2000,5,2
cms_minhash_lsh,hrac_classification.csv,hrac_code,"medium
",2,0,0,543,1.0,1.0,1.0,1.0,0.05374741554260254,0.0011777877807617188,0.7,chembl_2000_5,2000,5,2
cms_minhash_lsh,irac_classification.csv,active_ingredient,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.029276371002197266,0.0028231143951416016,0.7,chembl_2000_5,2000,5,1
cms_minhash_lsh,research_companies.csv,res_stem_id,"medium
",4,0,0,541,1.0,1.0,1.0,1.0,0.22115349769592285,0.0043792724609375,0.7,chembl_2000_5,2000,5,8
cms_minhash_lsh,chembl_release.csv,creation_date,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.022820711135864258,0.0014088153839111328,0.7,chembl_2000_5,2000,5,1
cms_minhash_lsh,go_classification.csv,path,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.027408361434936523,0.003134012222290039,0.7,chembl_2000_5,2000,5,1
cms_minhash_lsh,metabolism.csv,enzyme_name,"high
",1,0,0,544,1.0,1.0,1.0,1.0,0.029258012771606445,0.0016164779663085938,0.7,chembl_2000_5,2000,5,1
