query_file,query_selectivity,lsh_25,lsh_50,lsh_75,lsh_100,search_25,search_50,search_75,search_100,number_of_columns_25,number_of_columns_50,number_of_columns_75,number_of_columns_100
set_102393.csv,low,0.000314474,0.000420332,0.000469685,0.025818348,0.002245665,0.00438714,0.006878138,0.009887457,1077113,2154226,3231339,4308452
set_102484.csv,low,0.000236511,0.000255823,0.000279427,0.000327587,0.002010822,0.003916025,0.006098509,0.008052349,1077113,2154226,3231339,4308452
set_3035222.csv,low,0.000243425,0.000309706,0.000355959,0.000468493,0.001053333,0.002255678,0.003296137,0.004353046,1077113,2154226,3231339,4308452
set_102630.csv,low,0.000265598,0.000386,0.000432968,0.001297712,0.002186537,0.004277706,0.00692749,0.00894618,1077113,2154226,3231339,4308452
set_549089.csv,medium,0.000252008,0.000257492,0.000281096,0.00042963,0.000583887,0.001118898,0.001722574,0.002264977,1077113,2154226,3231339,4308452
set_102394.csv,low,0.000261784,0.000347853,0.000420094,0.000527143,0.002213478,0.004274368,0.006816387,0.009059906,1077113,2154226,3231339,4308452
set_3948698.csv,low,0.000266552,0.000323772,0.000371218,0.000511408,0.001379967,0.002859592,0.004292727,0.005940199,1077113,2154226,3231339,4308452
set_1647205.csv,low,0.000247478,0.000277996,0.000307798,0.000430822,0.001005173,0.00190568,0.002935886,0.004244328,1077113,2154226,3231339,4308452
set_1439401.csv,low,0.000253916,0.000297546,0.000333548,0.011666775,0.001521587,0.003189802,0.004796267,0.006522655,1077113,2154226,3231339,4308452
set_4378362.csv,low,0.000242472,0.000277281,0.000315189,0.000366211,0.001302242,0.002719402,0.004187107,0.005533218,1077113,2154226,3231339,4308452
set_3035077.csv,low,0.000247955,0.000299454,0.000331879,0.000382185,0.001128912,0.002404451,0.003537416,0.004650116,1077113,2154226,3231339,4308452
set_1647175.csv,low,0.000236034,0.000270844,0.000312328,0.000396252,0.001068115,0.001962185,0.003030062,0.004134655,1077113,2154226,3231339,4308452
set_4378352.csv,low,0.000223875,0.000255823,0.000298023,0.000315905,0.001291752,0.002661228,0.004142284,0.005499601,1077113,2154226,3231339,4308452
set_4846367.csv,low,0.00023818,0.00024724,0.000262737,0.000353575,0.000695944,0.001381636,0.00209403,0.003157377,1077113,2154226,3231339,4308452
set_3035261.csv,low,0.000245333,0.000309706,0.000343323,0.000419378,0.001060963,0.002249718,0.003344536,0.004281759,1077113,2154226,3231339,4308452
set_1650332.csv,low,0.000248909,0.000297546,0.000344515,0.000777721,0.002130985,0.004229307,0.006449938,0.009161711,1077113,2154226,3231339,4308452
set_1655381.csv,medium,0.00023365,0.000253916,0.000285625,0.000359058,0.000940323,0.001747847,0.002579451,0.003503084,1077113,2154226,3231339,4308452
set_1082641.csv,medium,0.000211716,0.000241756,0.000258207,0.010439634,0.000916958,0.0020926,0.003089905,0.004592896,1077113,2154226,3231339,4308452
set_3279341.csv,medium,0.000226736,0.00026989,0.000268221,0.000648737,0.000678539,0.001445055,0.002240419,0.003120899,1077113,2154226,3231339,4308452
set_3287684.csv,medium,0.000220776,0.000229597,0.000273466,0.000316381,0.000665903,0.001167774,0.001738071,0.002366066,1077113,2154226,3231339,4308452
set_3225324.csv,medium,0.000227451,0.000283003,0.000328302,0.618023634,0.001168251,0.002562284,0.003903151,0.005658627,1077113,2154226,3231339,4308452
set_2022878.csv,medium,0.000212908,0.000223398,0.000235081,0.025809288,0.000259876,0.000504494,0.000790358,0.001156092,1077113,2154226,3231339,4308452
