query_file,query_column,query_selectivity,lsh_25,lsh_50,lsh_75,lsh_100,search_25,search_50,search_75,search_100,number_of_columns_25,number_of_columns_50,number_of_columns_75,number_of_columns_100,dataset
9cvd-uyw6.csv,ELL PRINCIPAL,medium,0.0006861686706542969,0.0012433528900146484,0.0012362003326416016,0.0015239715576171875,4.124641418457031e-05,3.981590270996094e-05,1.8835067749023438e-05,2.002716064453125e-05,14995,29824,44658,59469,nyc
kcey-vehy.csv,qsurveyzone_home,high,0.00021982192993164062,0.00024628639221191406,0.0002541542053222656,0.00036334991455078125,2.4318695068359375e-05,1.9311904907226562e-05,1.9788742065429688e-05,2.8133392333984375e-05,14898,29662,44500,59469,nyc
g3xg-qtbc.csv,approx_date_closed,high,0.0003192424774169922,0.0003643035888671875,0.0003693103790283203,0.00038433074951171875,0,0,4.76837158203125e-05,4.649162292480469e-05,14872,29777,44522,59469,nyc
t5qg-w9sq.csv,B31 Scholastic Dishonesty R,medium,0.0004596710205078125,0.0008864402770996094,0.0013439655303955078,0.002167224884033203,1.9311904907226562e-05,2.3126602172851562e-05,2.3603439331054688e-05,4.1961669921875e-05,14869,29735,44571,59469,nyc
naib-xtez.csv,a40_taking_property_without,medium,0.0006003379821777344,0.0013437271118164062,0.0012102127075195312,0.0024635791778564453,3.4809112548828125e-05,3.528594970703125e-05,1.8835067749023438e-05,3.600120544433594e-05,14627,29489,44641,59469,nyc
disc.csv,A52 Group Violence S,medium,0.0005340576171875,0.0011076927185058594,0.0012426376342773438,0.0016541481018066406,2.8848648071289062e-05,3.0279159545898438e-05,2.0265579223632812e-05,2.0503997802734375e-05,14649,29470,44363,59469,nyc
64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,medium,0.00040650367736816406,0.0011696815490722656,0.0019259452819824219,0.0019040107727050781,2.5033950805664062e-05,2.1457672119140625e-05,3.552436828613281e-05,2.0742416381835938e-05,14828,29804,44853,59469,nyc
vc9v-wg6y.csv,ell_arabic,high,0.0003490447998046875,0.0004820823669433594,0.0004973411560058594,0.0009810924530029297,3.0279159545898438e-05,3.7670135498046875e-05,2.8848648071289062e-05,3.504753112792969e-05,14969,29788,44712,59469,nyc
uu87-uz8m.csv,asc_contact_perp,high,0.000461578369140625,0.0005092620849609375,0.0008466243743896484,0.0011353492736816406,4.38690185546875e-05,4.029273986816406e-05,3.933906555175781e-05,3.147125244140625e-05,14936,29755,44510,59469,nyc
268n-a7em.csv,local,high,0.0003800392150878906,0.0004379749298095703,0.0004222393035888672,0.0004112720489501953,3.552436828613281e-05,3.4332275390625e-05,3.695487976074219e-05,4.0531158447265625e-05,14897,29632,44362,59469,nyc
2ps2-dsjr.csv,_05_principal,medium,0.0006902217864990234,0.0012247562408447266,0.0016613006591796875,0.002277374267578125,3.9577484130859375e-05,4.363059997558594e-05,4.0531158447265625e-05,3.266334533691406e-05,15012,29649,44552,59469,nyc
naib-xtez.csv,a59_using_weapon_other_than,medium,0.0006680488586425781,0.00116729736328125,0.0022313594818115234,0.0021352767944335938,3.814697265625e-05,3.6716461181640625e-05,6.29425048828125e-05,4.100799560546875e-05,14828,29533,44582,59469,nyc
disc.csv,A29 Gang Related Behavior R,medium,0.0007100105285644531,0.0014619827270507812,0.0020911693572998047,0.0023393630981445312,3.790855407714844e-05,5.173683166503906e-05,4.5299530029296875e-05,3.170967102050781e-05,14873,29603,44528,59469,nyc
reri-chf8.csv,grade_12,high,0.00039958953857421875,0.00039505958557128906,0.000461578369140625,0.0004303455352783203,4.673004150390625e-05,3.314018249511719e-05,3.552436828613281e-05,3.1948089599609375e-05,14834,29729,44514,59469,nyc
45nu-yrf2.csv,6 EXPULSIONS,medium,0.0007989406585693359,0.0015091896057128906,0.0019898414611816406,0.002348661422729492,4.4345855712890625e-05,3.9577484130859375e-05,4.601478576660156e-05,3.4332275390625e-05,14833,29725,44526,59469,nyc
iz2q-9x8d.csv,total_est_fee,high,0.0003597736358642578,0.00039505958557128906,0.0004162788391113281,0.0005321502685546875,0,0,0,8.487701416015625e-05,15099,29673,44624,59469,nyc
r5p4-2qap.csv,18 PRINCIPAL,medium,0.00045943260192871094,0.0016264915466308594,0.0014774799346923828,0.0022284984588623047,4.506111145019531e-05,4.458427429199219e-05,4.649162292480469e-05,3.075599670410156e-05,15015,29834,44484,59469,nyc
fx4z-5xg2.csv,stop_question_frisk_complaint,high,0.00048041343688964844,0.0007188320159912109,0.00109100341796875,0.0014216899871826172,2.09808349609375e-05,3.4809112548828125e-05,2.956390380859375e-05,3.218650817871094e-05,15068,29709,44655,59469,nyc
i6ky-n2wd.csv,_2_superintendent,medium,0.0007274150848388672,0.0012695789337158203,0.001905679702758789,0.0024518966674804688,3.600120544433594e-05,3.4809112548828125e-05,4.172325134277344e-05,3.981590270996094e-05,14935,29845,44591,59469,nyc
ek6b-5n74.csv,description_of_code,high,0.0003972053527832031,0.0004162788391113281,0.00040793418884277344,0.0005018711090087891,4.38690185546875e-05,4.0531158447265625e-05,4.696846008300781e-05,5.6743621826171875e-05,15031,29782,44601,59469,nyc
ijzq-5wy8.csv,modes_used_june_bus,medium,0.0007402896881103516,0.0013899803161621094,0.0018754005432128906,0.002580881118774414,3.5762786865234375e-05,3.170967102050781e-05,3.361701965332031e-05,3.0517578125e-05,14894,29704,44568,59469,nyc
6bqn-qdwq.csv,tnc_mode,high,0.0004436969757080078,0.0008144378662109375,0.0010216236114501953,0.0014209747314453125,3.5762786865234375e-05,3.600120544433594e-05,3.552436828613281e-05,3.7670135498046875e-05,14907,29563,44808,59469,nyc
kg6x-kv5b.csv,10 REMOVALS,medium,0.0007092952728271484,0.0015425682067871094,0.002214670181274414,0.002651691436767578,4.5299530029296875e-05,4.1961669921875e-05,4.2438507080078125e-05,3.409385681152344e-05,14903,29794,44668,59469,nyc
disc.csv,A37 Intimidating and Bullying Behavior  S,medium,0.0007264614105224609,0.0014634132385253906,0.0023152828216552734,0.003084897994995117,3.695487976074219e-05,3.743171691894531e-05,4.57763671875e-05,4.1961669921875e-05,14696,29733,44603,59469,nyc
x5tk-fa54.csv,year_5_estimate,high,0.0004572868347167969,0.0008690357208251953,0.0010848045349121094,0.0017480850219726562,3.4332275390625e-05,3.7670135498046875e-05,3.3855438232421875e-05,5.173683166503906e-05,14842,29612,44689,59469,nyc
njjd-3gve.csv,q20_r7_c4,low,0.0005977153778076172,0.0012784004211425781,0.002137422561645508,0.0027937889099121094,1.9550323486328125e-05,2.0503997802734375e-05,2.0265579223632812e-05,2.0503997802734375e-05,14822,29853,44542,59469,nyc
utpj-74fz.csv,percent_of_electricity_that,low,0.0005297660827636719,0.0010290145874023438,0.001661539077758789,0.0020945072174072266,2.7894973754882812e-05,2.09808349609375e-05,1.9311904907226562e-05,2.0742416381835938e-05,14819,29801,44593,59469,nyc
yr5p-wjer.csv,worship_facility_gross_floor,low,0.0005619525909423828,0.001287698745727539,0.0016903877258300781,0.0021309852600097656,2.288818359375e-05,2.1219253540039062e-05,2.0742416381835938e-05,2.5987625122070312e-05,14932,29907,44569,59469,nyc
yr5p-wjer.csv,stadium_closed_gross_floor,low,0.0005402565002441406,0.0012912750244140625,0.001676797866821289,0.002427339553833008,1.9073486328125e-05,2.6702880859375e-05,2.0503997802734375e-05,2.002716064453125e-05,15073,29698,44838,59469,nyc
wcm8-aq5w.csv,percent_of_electricity_that,low,0.0007402896881103516,0.0012009143829345703,0.0016894340515136719,0.002423524856567383,2.9087066650390625e-05,1.9550323486328125e-05,2.002716064453125e-05,2.09808349609375e-05,14910,29554,44529,59469,nyc
wa2y-rh4b.csv,noncity_yr1_plan,low,0.0004734992980957031,0.0010349750518798828,0.0013990402221679688,0.002343416213989258,1.9788742065429688e-05,1.9073486328125e-05,1.9073486328125e-05,2.09808349609375e-05,14705,29888,44707,59469,nyc
nbun-wekj.csv,municipally_supplied_potable_1,low,0.0005042552947998047,0.0012352466583251953,0.0014157295227050781,0.0017828941345214844,1.9550323486328125e-05,2.0503997802734375e-05,1.9311904907226562e-05,2.1696090698242188e-05,14797,29784,44630,59469,nyc
njjd-3gve.csv,q21_r4_c2,low,0.0005450248718261719,0.0015401840209960938,0.0022115707397460938,0.0026602745056152344,1.9550323486328125e-05,2.86102294921875e-05,3.814697265625e-05,2.002716064453125e-05,14966,29694,44572,59469,nyc
f33j-ecpr.csv,q21_r1_c2,low,0.0006198883056640625,0.0010042190551757812,0.001695394515991211,0.0021631717681884766,2.0742416381835938e-05,2.0742416381835938e-05,2.3365020751953125e-05,2.0265579223632812e-05,14987,29853,44690,59469,nyc
6e44-8i2s.csv,larceny_or_other_theft_with_weapon_s,low,0.0008368492126464844,0.0015990734100341797,0.0022203922271728516,0.0028514862060546875,3.814697265625e-05,3.504753112792969e-05,3.5762786865234375e-05,3.552436828613281e-05,14814,29697,44629,59469,nyc
utpj-74fz.csv,retail_store_number_of_open,low,0.0003933906555175781,0.0008189678192138672,0.0011703968048095703,0.001554250717163086,1.8835067749023438e-05,2.6464462280273438e-05,1.9073486328125e-05,1.9073486328125e-05,14906,29867,44725,59469,nyc
m8p6-tp4b.csv,yrb_rng,low,0.0009121894836425781,0.0016193389892578125,0.0016489028930664062,0.002857208251953125,3.314018249511719e-05,4.2438507080078125e-05,2.002716064453125e-05,4.1484832763671875e-05,14904,29825,44576,59469,nyc
8nqg-ia7v.csv,flag_mc,high,0.00033664703369140625,0.00048732757568359375,0.0005338191986083984,0.0009930133819580078,3.6716461181640625e-05,3.981590270996094e-05,3.5762786865234375e-05,3.910064697265625e-05,14881,29727,44454,59469,nyc
n84m-kx4j.csv,vehicle_engine_horsepower,high,0.00035119056701660156,0.00043463706970214844,0.0003941059112548828,0.0003826618194580078,0,5.340576171875e-05,5.888938903808594e-05,5.1021575927734375e-05,14958,29654,44560,59469,nyc
jpcp-ic7c.csv,qworktravelcode06,high,0.0004596710205078125,0.0008454322814941406,0.0010178089141845703,0.0011811256408691406,3.552436828613281e-05,3.361701965332031e-05,3.62396240234375e-05,3.314018249511719e-05,14801,29663,44482,59469,nyc
utpj-74fz.csv,bank_branch_number_of,low,0.0008292198181152344,0.0016474723815917969,0.0024251937866210938,0.0027031898498535156,3.886222839355469e-05,2.5510787963867188e-05,3.314018249511719e-05,3.361701965332031e-05,15221,29782,44603,59469,nyc
4nft-bihw.csv,tax_year,high,0.0003440380096435547,0.00035309791564941406,0.0004096031188964844,0.0004596710205078125,3.361701965332031e-05,2.86102294921875e-05,3.3855438232421875e-05,3.314018249511719e-05,14958,29797,44524,59469,nyc
