query_file	query_selectivity	lsh_25	lsh_50	lsh_75	lsh_100	search_25	search_50	search_75	search_100	number_of_columns_25	number_of_columns_50	number_of_columns_75	number_of_columns_100
set_102393.csv	low	0.000303268	0.000416756	0.000486374	0.000772715	0.002249002	0.004485607	0.007016659	0.012334347	1077113	2154226	3231339	4308452
set_102484.csv	low	0.000239849	0.000261068	0.000284672	0.000411749	0.001932383	0.003990412	0.006144047	0.009710312	1077113	2154226	3231339	4308452
set_3035222.csv	low	0.000241995	0.000304461	0.000346184	0.000437021	0.001053333	0.002289772	0.003371954	0.004847288	1077113	2154226	3231339	4308452
set_102630.csv	low	0.000291824	0.000383377	0.000435591	0.000542641	0.00224638	0.004425049	0.006933928	0.011757612	1077113	2154226	3231339	4308452
set_549089.csv	medium	0.00026226	0.000272512	0.000286818	0.000402451	0.000591516	0.00114131	0.001734257	0.003035307	1077113	2154226	3231339	4308452
set_102394.csv	low	0.000286579	0.000345945	0.000429869	0.000567436	0.002244949	0.004384995	0.006838799	0.010196924	1077113	2154226	3231339	4308452
set_3948698.csv	low	0.000266314	0.00032258	0.000370741	0.000514269	0.001407146	0.002900124	0.004398823	0.007786989	1077113	2154226	3231339	4308452
set_1647205.csv	low	0.000259161	0.000276804	0.000320911	0.000401974	0.00100708	0.001949072	0.002981901	0.004686832	1077113	2154226	3231339	4308452
set_1439401.csv	low	0.000263214	0.000300169	0.000342607	0.000659704	0.001524687	0.003242493	0.004852057	0.007318258	1077113	2154226	3231339	4308452
set_4378362.csv	low	0.000254869	0.000281334	0.000310659	0.000386	0.001317501	0.002803326	0.004254818	0.005704165	1077113	2154226	3231339	4308452
set_3035077.csv	low	0.000241518	0.000296831	0.000324249	0.00057888	0.001141071	0.002440691	0.00359726	0.005588293	1077113	2154226	3231339	4308452
set_1647175.csv	low	0.00025034	0.000279427	0.000328064	0.000549316	0.001078367	0.002034903	0.003087521	0.005257368	1077113	2154226	3231339	4308452
set_4378352.csv	low	0.000255585	0.000275135	0.000298977	0.000388384	0.001324892	0.002798796	0.004227638	0.007902384	1077113	2154226	3231339	4308452
set_4846367.csv	low	0.000231981	0.000251055	0.00026989	0.000347614	0.00069952	0.001410246	0.002147436	0.003956556	1077113	2154226	3231339	4308452
set_3035261.csv	low	0.00027895	0.00030303	0.00034976	0.000625134	0.001089096	0.002327442	0.003376007	0.005648375	1077113	2154226	3231339	4308452
set_1650332.csv	low	0.000268221	0.000312328	0.000347137	0.000436306	0.002140045	0.004272699	0.006567955	0.011331081	1077113	2154226	3231339	4308452
set_1655381.csv	medium	0.000237465	0.000255346	0.000281096	0.000543118	0.000960827	0.001764536	0.002571821	0.004224062	1077113	2154226	3231339	4308452
set_1082641.csv	medium	0.00021553	0.000242472	0.000266552	0.000439644	0.000925064	0.002124071	0.00316	0.005331039	1077113	2154226	3231339	4308452
set_3279341.csv	medium	0.00022459	0.000259161	0.000268459	0.000348091	0.000659466	0.001475811	0.002327681	0.003639698	1077113	2154226	3231339	4308452
set_3287684.csv	medium	0.000218153	0.000244856	0.000273705	0.000327349	0.000664711	0.001190662	0.001769304	0.002452374	1077113	2154226	3231339	4308452
set_3225324.csv	medium	0.000243187	0.000281811	0.000337124	0.000428915	0.001169443	0.002631187	0.00394845	0.006958961	1077113	2154226	3231339	4308452
set_2022878.csv	medium	0.000218868	0.000226498	0.000240803	0.00028348	0.000264168	0.000523567	0.00082159	0.001093388	1077113	2154226	3231339	4308452
set_2022766.csv	medium	0.000228405	0.000234365	0.000260353	0.000486135	0.000440121	0.000900984	0.001362324	0.00233674	1077113	2154226	3231339	4308452
set_2757622.csv	medium	0.000222921	0.000230074	0.000224829	0.000319004	0.000126839	0.000326395	0.000500679	0.000666857	1077113	2154226	3231339	4308452
set_1649665.csv	medium	0.000226974	0.000243187	0.000266314	0.000487089	0.000763416	0.001610279	0.002460003	0.003959656	1077113	2154226	3231339	4308452
set_1941277.csv	medium	0.000236273	0.000270128	0.000311136	0.000398397	0.000843048	0.001731396	0.002703905	0.004640579	1077113	2154226	3231339	4308452
set_1466953.csv	medium	0.00020051	0.000210285	0.000208378	0.000251293	0.000183344	0.000360012	0.000529528	0.000710964	1077113	2154226	3231339	4308452
set_3225313.csv	medium	0.000222921	0.000281572	0.000333071	0.00039959	0.001170874	0.002609968	0.003938437	0.006486654	1077113	2154226	3231339	4308452
set_1302350.csv	medium	0.000235558	0.000271797	0.000315666	0.000494719	0.001646996	0.003305674	0.005083799	0.008877277	1077113	2154226	3231339	4308452
set_100477.csv	medium	0.000221968	0.000252008	0.000252962	0.000330448	0.000543833	0.0010252	0.001564503	0.002240419	1077113	2154226	3231339	4308452
set_1237906.csv	high	0.000200748	0.000188589	0.000192881	0.000347376	4.58E-05	6.87E-05	0.000110149	0.000192881	1077113	2154226	3231339	4308452
set_2062632.csv	high	0.000275373	0.000334263	0.000394106	0.000528336	0.01382637	0.02786088	0.041338921	0.061749935	1077113	2154226	3231339	4308452
set_2675679.csv	high	0.000439882	0.000361204	0.000426769	0.000597954	0.012547016	0.026413441	0.038696289	0.06482482	1077113	2154226	3231339	4308452
set_1082432.csv	high	0.000270128	0.000280142	0.000313282	0.000400543	0.001059532	0.002161503	0.003437281	0.005578279	1077113	2154226	3231339	4308452
set_4349463.csv	high	0.000218868	0.000222683	0.000220537	0.000252008	8.99E-05	0.000167131	0.00025034	0.000326395	1077113	2154226	3231339	4308452
set_4598170.csv	high	0.000242472	0.00025034	0.000244856	0.000463963	0.000357628	0.000773191	0.001153231	0.001746893	1077113	2154226	3231339	4308452
set_1649507.csv	high	0.000219584	0.000224829	0.000235319	0.00042367	0.000516176	0.000969887	0.001489401	0.002129078	1077113	2154226	3231339	4308452
set_1655666.csv	high	0.000226736	0.000232697	0.000265837	0.000298977	0.004708767	0.009392738	0.014013052	0.022869587	1077113	2154226	3231339	4308452
set_3798495.csv	high	0.000222206	0.000224829	0.000231743	0.00027895	6.41E-05	0.00012517	0.000244856	0.000390291	1077113	2154226	3231339	4308452
set_3079718.csv	high	0.000232935	0.000236273	0.000259876	0.000338078	0.000607491	0.001321077	0.002078772	0.003751516	1077113	2154226	3231339	4308452
set_3826120.csv	high	0.000211716	0.000232458	0.000237942	0.000293493	0.000181913	0.000350237	0.000547171	0.000734806	1077113	2154226	3231339	4308452
set_4001420.csv	high	0.000211954	0.000207424	0.000210524	0.000229836	4.77E-05	0.000170708	0.000291586	0.000371933	1077113	2154226	3231339	4308452
set_4058082.csv	high	0.000208616	0.000229359	0.000223875	0.000253916	0.000172853	0.000285149	0.000447273	0.000953913	1077113	2154226	3231339	4308452
set_3363156.csv	high	0.000221729	0.00022912	0.000224113	0.000406027	0.000129938	0.000281334	0.000443459	0.000908375	1077113	2154226	3231339	4308452
set_439649.csv	high	0.000261545	0.000272751	0.000296354	0.000352144	0.001568317	0.003162384	0.0044837	0.007521868	1077113	2154226	3231339	4308452
