method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms,ijzq-5wy8.csv,modes_used_june_bus,0.1,41,0,451,2165,0.8302596913812571,1.0,0.08333333333333333,0.15384615384615385,851.5301885604858,0.1,nyc
cms_sampling,ijzq-5wy8.csv,modes_used_june_bus,0.1,49,8,443,2157,0.8302596913812571,0.8596491228070176,0.09959349593495935,0.1785063752276867,423.5392954349518,0.1,nyc
cms_earlystopping,ijzq-5wy8.csv,modes_used_june_bus,0.1,41,0,451,2165,0.8302596913812571,1.0,0.08333333333333333,0.15384615384615385,62.7527015209198,0.1,nyc
cms_minhash,ijzq-5wy8.csv,modes_used_june_bus,0.1,27,0,465,2165,0.8249905908919835,1.0,0.054878048780487805,0.10404624277456646,1.5038201808929443,0.1,nyc
cms_minhash_lsh,ijzq-5wy8.csv,modes_used_june_bus,0.1,27,0,465,2165,0.8249905908919835,1.0,0.054878048780487805,0.10404624277456646,0.020788192749023438,0.1,nyc
cms,kg6x-kv5b.csv,10 REMOVALS,medium,1218,0,0,58251,1.0,1.0,1.0,1.0,712.8781495094299,0.1,nyc
cms_sampling,kg6x-kv5b.csv,10 REMOVALS,medium,1218,2,0,58249,0.9999663690326053,0.9983606557377049,1.0,0.9991796554552912,353.95081973075867,0.1,nyc
cms_earlystopping,kg6x-kv5b.csv,10 REMOVALS,medium,307,0,911,58251,0.984681094351679,1.0,0.25205254515599346,0.4026229508196722,66.11629915237427,0.1,nyc
cms_minhash,kg6x-kv5b.csv,10 REMOVALS,medium,1218,9,0,58242,0.9998486606467235,0.9926650366748166,1.0,0.996319018404908,1.3366267681121826,0.1,nyc
cms_minhash_lsh,kg6x-kv5b.csv,10 REMOVALS,medium,1218,9,0,58242,0.9998486606467235,0.9926650366748166,1.0,0.996319018404908,0.47531557083129883,0.1,nyc
cms,2ps2-dsjr.csv,_05_principal,medium,1219,10,0,58240,0.9998318451630261,0.9918633034987795,1.0,0.9959150326797386,715.384792804718,0.1,nyc
cms_sampling,2ps2-dsjr.csv,_05_principal,medium,1219,2,0,58248,0.9999663690326053,0.9983619983619983,1.0,0.9991803278688524,353.8804883956909,0.1,nyc
cms_earlystopping,2ps2-dsjr.csv,_05_principal,medium,331,1,888,58249,0.9850510349930216,0.9969879518072289,0.2715340442986054,0.4268214055448098,66.75177931785583,0.1,nyc
cms_minhash,2ps2-dsjr.csv,_05_principal,medium,1219,21,0,58229,0.9996468748423548,0.9830645161290322,1.0,0.9914599430662872,1.2051875591278076,0.1,nyc
cms_minhash_lsh,2ps2-dsjr.csv,_05_principal,medium,1219,21,0,58229,0.9996468748423548,0.9830645161290322,1.0,0.9914599430662872,0.4520273208618164,0.1,nyc
cms,g3xg-qtbc.csv,approx_date_closed,high,1,0,0,59468,1.0,1.0,1.0,1.0,711.4526386260986,0.1,nyc
cms_sampling,g3xg-qtbc.csv,approx_date_closed,high,1,0,0,59468,1.0,1.0,1.0,1.0,350.93265771865845,0.1,nyc
cms_earlystopping,g3xg-qtbc.csv,approx_date_closed,high,1,0,0,59468,1.0,1.0,1.0,1.0,36.052043199539185,0.1,nyc
cms_minhash,g3xg-qtbc.csv,approx_date_closed,high,1,1,0,59467,0.9999831845163026,0.5,1.0,0.6666666666666666,1.1712260246276855,0.1,nyc
cms_minhash_lsh,g3xg-qtbc.csv,approx_date_closed,high,1,1,0,59467,0.9999831845163026,0.5,1.0,0.6666666666666666,0.7593731880187988,0.1,nyc
cms,naib-xtez.csv,a34_coercion_threats_p,medium,1219,10,0,58240,0.9998318451630261,0.9918633034987795,1.0,0.9959150326797386,714.8226425647736,0.1,nyc
cms_sampling,naib-xtez.csv,a34_coercion_threats_p,medium,1219,2,0,58248,0.9999663690326053,0.9983619983619983,1.0,0.9991803278688524,354.77568769454956,0.1,nyc
cms_earlystopping,naib-xtez.csv,a34_coercion_threats_p,medium,0,0,1219,58250,0.9795019253728834,0.0,0.0,0.0,35.294183015823364,0.1,nyc
cms_minhash,naib-xtez.csv,a34_coercion_threats_p,medium,1219,18,0,58232,0.999697321293447,0.9854486661277284,1.0,0.992671009771987,1.2063157558441162,0.1,nyc
cms_minhash_lsh,naib-xtez.csv,a34_coercion_threats_p,medium,1219,18,0,58232,0.999697321293447,0.9854486661277284,1.0,0.992671009771987,0.2788689136505127,0.1,nyc
cms,naib-xtez.csv,a40_taking_property_without,medium,1219,10,0,58240,0.9998318451630261,0.9918633034987795,1.0,0.9959150326797386,716.7935473918915,0.1,nyc
cms_sampling,naib-xtez.csv,a40_taking_property_without,medium,1219,2,0,58248,0.9999663690326053,0.9983619983619983,1.0,0.9991803278688524,356.1593039035797,0.1,nyc
cms_earlystopping,naib-xtez.csv,a40_taking_property_without,medium,0,0,1219,58250,0.9795019253728834,0.0,0.0,0.0,35.286640882492065,0.1,nyc
cms_minhash,naib-xtez.csv,a40_taking_property_without,medium,1219,18,0,58232,0.999697321293447,0.9854486661277284,1.0,0.992671009771987,1.2078864574432373,0.1,nyc
cms_minhash_lsh,naib-xtez.csv,a40_taking_property_without,medium,1219,18,0,58232,0.999697321293447,0.9854486661277284,1.0,0.992671009771987,0.18110418319702148,0.1,nyc
cms,disc.csv,A29 Gang Related Behavior R,medium,1218,0,0,58251,1.0,1.0,1.0,1.0,712.7633979320526,0.1,nyc
cms_sampling,disc.csv,A29 Gang Related Behavior R,medium,1203,2,15,58249,0.9997141367771444,0.9983402489626556,0.9876847290640394,0.9929839042509286,354.1360146999359,0.1,nyc
cms_earlystopping,disc.csv,A29 Gang Related Behavior R,medium,0,0,1218,58251,0.9795187408565807,0.0,0.0,0.0,35.099294900894165,0.1,nyc
cms_minhash,disc.csv,A29 Gang Related Behavior R,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,1.273247480392456,0.1,nyc
cms_minhash_lsh,disc.csv,A29 Gang Related Behavior R,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,0.18198895454406738,0.1,nyc
cms,9cvd-uyw6.csv,ELL PRINCIPAL,medium,1152,0,0,58317,1.0,1.0,1.0,1.0,718.1733176708221,0.1,nyc
cms_sampling,9cvd-uyw6.csv,ELL PRINCIPAL,medium,1152,3,0,58314,0.9999495535489078,0.9974025974025974,1.0,0.9986996098829649,354.8718135356903,0.1,nyc
cms_earlystopping,9cvd-uyw6.csv,ELL PRINCIPAL,medium,376,0,776,58317,0.9869511846508264,1.0,0.3263888888888889,0.49214659685863876,61.606476068496704,0.1,nyc
cms_minhash,9cvd-uyw6.csv,ELL PRINCIPAL,medium,1151,1,1,58316,0.9999663690326053,0.9991319444444444,0.9991319444444444,0.9991319444444444,1.2913880348205566,0.1,nyc
cms_minhash_lsh,9cvd-uyw6.csv,ELL PRINCIPAL,medium,1151,1,1,58316,0.9999663690326053,0.9991319444444444,0.9991319444444444,0.9991319444444444,0.5028543472290039,0.1,nyc
cms,45nu-yrf2.csv,6 EXPULSIONS,medium,1218,0,0,58251,1.0,1.0,1.0,1.0,727.9538962841034,0.1,nyc
cms_sampling,45nu-yrf2.csv,6 EXPULSIONS,medium,1203,2,15,58249,0.9997141367771444,0.9983402489626556,0.9876847290640394,0.9929839042509286,360.2852900028229,0.1,nyc
cms_earlystopping,45nu-yrf2.csv,6 EXPULSIONS,medium,0,0,1218,58251,0.9795187408565807,0.0,0.0,0.0,35.749083042144775,0.1,nyc
cms_minhash,45nu-yrf2.csv,6 EXPULSIONS,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,1.3252639770507812,0.1,nyc
cms_minhash_lsh,45nu-yrf2.csv,6 EXPULSIONS,medium,1218,10,0,58241,0.9998318451630261,0.99185667752443,1.0,0.9959116925592805,0.18277645111083984,0.1,nyc
cms,kcey-vehy.csv,qsurveyzone_home,high,15,4,0,59450,0.9999327380652104,0.7894736842105263,1.0,0.8823529411764706,716.2867386341095,0.1,nyc
cms_sampling,kcey-vehy.csv,qsurveyzone_home,high,15,0,0,59454,1.0,1.0,1.0,1.0,356.73466658592224,0.1,nyc
cms_earlystopping,kcey-vehy.csv,qsurveyzone_home,high,15,0,0,59454,1.0,1.0,1.0,1.0,35.76621127128601,0.1,nyc
cms_minhash,kcey-vehy.csv,qsurveyzone_home,high,15,4,0,59450,0.9999327380652104,0.7894736842105263,1.0,0.8823529411764706,1.18013596534729,0.1,nyc
cms_minhash_lsh,kcey-vehy.csv,qsurveyzone_home,high,15,4,0,59450,0.9999327380652104,0.7894736842105263,1.0,0.8823529411764706,0.5639827251434326,0.1,nyc
