query_id,file_name,column_name,tmh_matches,ground_truth,TP,FP,FN,TN,precision,recall,f1_score,accuracy
1,metabolism.csv,met_id,2,2,2,0,0,543,1.0,1.0,1.0,1.0
2,molecule_dictionary.csv,usan_stem,2,2,2,0,0,543,1.0,1.0,1.0,1.0
3,atc_classification.csv,level5,2,2,2,0,0,543,1.0,1.0,1.0,1.0
4,products.csv,product_id,2,2,2,0,0,543,1.0,1.0,1.0,1.0
5,research_companies.csv,res_stem_id,4,4,4,0,0,541,1.0,1.0,1.0,1.0
6,activity_supp.csv,standard_text_value,2,2,2,0,0,543,1.0,1.0,1.0,1.0
7,variant_sequences.csv,variant_id,2,2,2,0,0,543,1.0,1.0,1.0,1.0
8,activities.csv,text_value,2,2,2,0,0,543,1.0,1.0,1.0,1.0
9,products.csv,topical,17,2,2,15,0,528,0.11764705882352941,1.0,0.21052631578947367,0.9724770642201835
10,biotherapeutic_components.csv,component_id,2,2,2,0,0,543,1.0,1.0,1.0,1.0
11,activity_supp.csv,text_value,2,2,2,0,0,543,1.0,1.0,1.0,1.0
12,hrac_classification.csv,hrac_code,2,2,2,0,0,543,1.0,1.0,1.0,1.0
13,molecule_irac_classification.csv,irac_class_id,2,2,2,0,0,543,1.0,1.0,1.0,1.0
14,products.csv,parenteral,18,2,2,16,0,527,0.1111111111111111,1.0,0.19999999999999998,0.9706422018348624
15,molecule_atc_classification.csv,level5,2,2,2,0,0,543,1.0,1.0,1.0,1.0
16,go_classification.csv,class_level,1,1,1,0,0,544,1.0,1.0,1.0,1.0
17,irac_classification.csv,active_ingredient,1,1,1,0,0,544,1.0,1.0,1.0,1.0
18,bio_component_sequences.csv,sequence,1,1,1,0,0,544,1.0,1.0,1.0,1.0
19,metabolism.csv,enzyme_name,1,1,1,0,0,544,1.0,1.0,1.0,1.0
20,go_classification.csv,path,1,1,1,0,0,544,1.0,1.0,1.0,1.0
21,chembl_release.csv,chembl_release_id,1,1,1,0,0,544,1.0,1.0,1.0,1.0
22,chembl_release.csv,creation_date,1,1,1,0,0,544,1.0,1.0,1.0,1.0
23,molecule_frac_classification.csv,molregno,1,1,1,0,0,544,1.0,1.0,1.0,1.0
24,molecule_dictionary.csv,first_approval,1,1,1,0,0,544,1.0,1.0,1.0,1.0
25,products.csv,route,1,1,1,0,0,544,1.0,1.0,1.0,1.0
26,products.csv,innovator_company,2,1,1,1,0,543,0.5,1.0,0.6666666666666666,0.998165137614679
27,relationship_type.csv,relationship_type,1,1,1,0,0,544,1.0,1.0,1.0,1.0
28,protein_class_synonyms.csv,protein_class_id,1,1,1,0,0,544,1.0,1.0,1.0,1.0
29,organism_class.csv,l2,1,1,1,0,0,544,1.0,1.0,1.0,1.0
30,biotherapeutics.csv,helm_notation,1,1,1,0,0,544,1.0,1.0,1.0,1.0
31,target_components.csv,homologue,17,4,4,13,0,528,0.23529411764705882,1.0,0.38095238095238093,0.9761467889908257
32,hrac_classification.csv,hrac_class_id,3,4,3,0,1,541,1.0,0.75,0.8571428571428571,0.998165137614679
33,molecule_irac_classification.csv,mol_irac_id,5,5,5,0,0,540,1.0,1.0,1.0,1.0
34,product_patents.csv,drug_substance_flag,17,4,4,13,0,528,0.23529411764705882,1.0,0.38095238095238093,0.9761467889908257
35,irac_classification.csv,irac_class_id,5,5,5,0,0,540,1.0,1.0,1.0,1.0
36,assays.csv,assay_group,1,1,1,0,0,544,1.0,1.0,1.0,1.0
37,research_stem.csv,res_stem_id,5,5,5,0,0,540,1.0,1.0,1.0,1.0
38,research_companies.csv,co_stem_id,5,5,5,0,0,540,1.0,1.0,1.0,1.0
39,product_patents.csv,delist_flag,17,4,4,13,0,528,0.23529411764705882,1.0,0.38095238095238093,0.9761467889908257
40,molecule_frac_classification.csv,mol_frac_id,4,4,4,0,0,541,1.0,1.0,1.0,1.0
41,drug_mechanism.csv,molecular_mechanism,7,3,3,4,0,538,0.42857142857142855,1.0,0.6,0.9926605504587156
42,activity_stds_lookup.csv,std_act_id,4,4,4,0,0,541,1.0,1.0,1.0,1.0
43,molecule_hrac_classification.csv,mol_hrac_id,6,6,6,0,0,539,1.0,1.0,1.0,1.0
44,assay_classification.csv,assay_class_id,4,4,4,0,0,541,1.0,1.0,1.0,1.0
45,drug_mechanism.csv,direct_interaction,7,3,3,4,0,538,0.42857142857142855,1.0,0.6,0.9926605504587156
