query_id	file_name	column_name	tmh_matches	ground_truth	TP	FP	FN	TN	precision	recall	f1_score	accuracy
1	ijzq-5wy8.csv	modes_used_june_bus	1950	638	638	1312	0	57519	0.327179487	1	0.493044822	0.977938085
2	r5p4-2qap.csv	18 PRINCIPAL	1078	980	980	98	0	58391	0.909090909	1	0.952380952	0.998352083
3	naib-xtez.csv	a59_using_weapon_other_than	1180	501	501	679	0	58289	0.424576271	1	0.596073766	0.988582287
4	disc.csv	A37 Intimidating and Bullying Behavior  S	1180	652	652	528	0	58289	0.552542373	1	0.711790393	0.991121425
5	2ps2-dsjr.csv	_05_principal	1180	502	502	678	0	58289	0.425423729	1	0.596908442	0.988599102
6	disc.csv	A29 Gang Related Behavior R	1180	652	652	528	0	58289	0.552542373	1	0.711790393	0.991121425
7	45nu-yrf2.csv	6 EXPULSIONS	1180	652	652	528	0	58289	0.552542373	1	0.711790393	0.991121425
8	kg6x-kv5b.csv	10 REMOVALS	1179	652	652	527	0	58290	0.553011026	1	0.712179137	0.99113824
9	i6ky-n2wd.csv	_2_superintendent	1180	501	501	679	0	58289	0.424576271	1	0.596073766	0.988582287
10	9cvd-uyw6.csv	ELL PRINCIPAL	1081	988	988	93	0	58388	0.913968548	1	0.955050749	0.99843616
11	disc.csv	A52 Group Violence S	1180	652	652	528	0	58289	0.552542373	1	0.711790393	0.991121425
12	naib-xtez.csv	a40_taking_property_without	1180	501	501	679	0	58289	0.424576271	1	0.596073766	0.988582287
13	t5qg-w9sq.csv	B31 Scholastic Dishonesty R	1180	652	652	528	0	58289	0.552542373	1	0.711790393	0.991121425
14	64pu-zyr2.csv	A36 Intimidating and Bullying Behavior R	1076	970	970	106	0	58393	0.901486989	1	0.948191593	0.998217559
15	naib-xtez.csv	a34_coercion_threats_p	1180	501	501	679	0	58289	0.424576271	1	0.596073766	0.988582287
16	kcey-vehy.csv	qsurveyzone_home	4	3	3	1	0	59465	0.75	1	0.857142857	0.999983185
17	g3xg-qtbc.csv	approx_date_closed	1	1	1	0	0	59468	1	1	1	1
18	fx4z-5xg2.csv	stop_question_frisk_complaint	194	128	127	67	1	59274	0.654639175	0.9921875	0.788819876	0.998856547
19	vc9v-wg6y.csv	ell_arabic	568	54	54	514	0	58901	0.095070423	1	0.173633441	0.991356841
20	8nqg-ia7v.csv	flag_mc	283	24	24	259	0	59186	0.084805654	1	0.156351792	0.99564479
21	iz2q-9x8d.csv	total_est_fee	1	1	1	0	0	59468	1	1	1	1
22	jpcp-ic7c.csv	qworktravelcode06	488	41	41	447	0	58981	0.084016393	1	0.155009452	0.992483479
23	x5tk-fa54.csv	year_5_estimate	3	3	3	0	0	59466	1	1	1	1
24	uu87-uz8m.csv	asc_contact_perp	1045	70	70	975	0	58424	0.066985646	1	0.125560538	0.983604903
25	268n-a7em.csv	local	1	1	1	0	0	59468	1	1	1	1
26	reri-chf8.csv	grade_12	1	1	1	0	0	59468	1	1	1	1
27	ek6b-5n74.csv	description_of_code	8	8	8	0	0	59461	1	1	1	1
28	4nft-bihw.csv	tax_year	5	1	1	4	0	59464	0.2	1	0.333333333	0.999932738
29	n84m-kx4j.csv	vehicle_engine_horsepower	1	1	1	0	0	59468	1	1	1	1
30	wcm8-aq5w.csv	propane_use_kbtu	1192	1132	1132	60	0	58277	0.94966443	1	0.974182444	0.998991071
31	4tys-3tzj.csv	multifamily_housing_number	1192	1132	1132	60	0	58277	0.94966443	1	0.974182444	0.998991071
32	njjd-3gve.csv	q21_r4_c2	1910	1210	1210	700	0	57559	0.633507853	1	0.775641026	0.988229161
33	utpj-74fz.csv	retail_store_number_of_open	1184	1147	1147	37	0	58285	0.96875	1	0.984126984	0.999377827
34	m8p6-tp4b.csv	yrb_rng	1910	1210	1210	700	0	57559	0.633507853	1	0.775641026	0.988229161
35	utpj-74fz.csv	percent_of_electricity_that	1843	1210	1210	633	0	57626	0.656538253	1	0.792662954	0.989355799
36	f33j-ecpr.csv	q21_r1_c2	1988	1368	1368	620	0	57481	0.688128773	1	0.815256257	0.9895744
37	nbun-wekj.csv	municipally_supplied_potable_1	1177	1134	1134	43	0	58292	0.96346644	1	0.981393336	0.999276934
38	yr5p-wjer.csv	stadium_closed_gross_floor	1192	1132	1132	60	0	58277	0.94966443	1	0.974182444	0.998991071
39	yr5p-wjer.csv	worship_facility_gross_floor	1192	1132	1132	60	0	58277	0.94966443	1	0.974182444	0.998991071
40	njjd-3gve.csv	q20_r7_c4	1910	1210	1210	700	0	57559	0.633507853	1	0.775641026	0.988229161
41	wa2y-rh4b.csv	noncity_yr1_plan	1780	1210	1210	570	0	57689	0.679775281	1	0.809364548	0.990415174
42	wcm8-aq5w.csv	percent_of_electricity_that	1862	1210	1210	652	0	57607	0.649838883	1	0.787760417	0.989036305
43	6e44-8i2s.csv	larceny_or_other_theft_with_weapon_s	1910	1210	1210	700	0	57559	0.633507853	1	0.775641026	0.988229161
44	utpj-74fz.csv	bank_branch_number_of	1192	1132	1132	60	0	58277	0.94966443	1	0.974182444	0.998991071
45	6bqn-qdwq.csv	tnc_mode	104	2	2	102	0	59365	0.019230769	1	0.037735849	0.998284821
