query_file,time_ns
metabolism.csv_met_id,160033
molecule_dictionary.csv_usan_stem,157019
atc_classification.csv_level5,115258
products.csv_product_id,118758
research_companies.csv_res_stem_id,120016
activity_supp.csv_standard_text_value,158645
variant_sequences.csv_variant_id,158323
activities.csv_text_value,158915
products.csv_topical,158057
biotherapeutic_components.csv_component_id,156614
activity_supp.csv_text_value,153910
hrac_classification.csv_hrac_code,156272
molecule_irac_classification.csv_irac_class_id,159469
products.csv_parenteral,156270
molecule_atc_classification.csv_level5,154702
go_classification.csv_class_level,157713
irac_classification.csv_active_ingredient,155444
bio_component_sequences.csv_sequence,157624
metabolism.csv_enzyme_name,156472
go_classification.csv_path,158344
chembl_release.csv_chembl_release_id,161047
chembl_release.csv_creation_date,160994
molecule_frac_classification.csv_molregno,160366
molecule_dictionary.csv_first_approval,160218
products.csv_route,162715
products.csv_innovator_company,158147
relationship_type.csv_relationship_type,162252
protein_class_synonyms.csv_protein_class_id,119296
organism_class.csv_l2,158271
biotherapeutics.csv_helm_notation,156951
target_components.csv_homologue,155646
hrac_classification.csv_hrac_class_id,155837
molecule_irac_classification.csv_mol_irac_id,159091
product_patents.csv_drug_substance_flag,157228
irac_classification.csv_irac_class_id,156266
assays.csv_assay_group,158307
research_stem.csv_res_stem_id,117873
research_companies.csv_co_stem_id,117840
product_patents.csv_delist_flag,161218
molecule_frac_classification.csv_mol_frac_id,157403
drug_mechanism.csv_molecular_mechanism,155390
activity_stds_lookup.csv_std_act_id,159543
molecule_hrac_classification.csv_mol_hrac_id,155587
assay_classification.csv_assay_class_id,158195
drug_mechanism.csv_direct_interaction,162051
